"","Sites","Richness","sd"
"275",275,1688.238,317.504406905486
"276",276,1692.199,316.792242208871
"277",277,1696.851,318.336779376974
"278",278,1700.999,317.671248338626
"279",279,1704.976,317.130274548229
"280",280,1711.422,318.599044674128
"281",281,1715.276,318.293918953603
"282",282,1718.734,318.139944471404
"283",283,1723.023,319.057782132546
"284",284,1727.065,319.641329233806
"285",285,1731.443,320.167324795749
"286",286,1735.728,320.150893502752
"287",287,1739.371,320.854064474318
"288",288,1744.573,320.881341786191
"289",289,1748.637,320.635556966771
"290",290,1752.497,321.093221429304
"291",291,1757.633,321.727625447328
"292",292,1760.737,321.868925863365
"293",293,1764.223,322.016110849514
"294",294,1769.683,322.451291432282
"295",295,1773.004,322.101703645745
"296",296,1776.466,321.803711091828
"297",297,1779.551,322.125047062387
"298",298,1783.27,321.522182148625
"299",299,1787.085,320.683188649612
"300",300,1792.536,321.874043072137
"301",301,1796.119,322.009243332846
"302",302,1799.506,321.581791793026
"303",303,1802.759,322.433242881554
"304",304,1806.707,322.137103520325
"305",305,1810.587,321.851790434675
"306",306,1814.617,322.39613455899
"307",307,1819.343,322.723088022135
"308",308,1824.313,323.449997576027
"309",309,1829.511,325.384232527911
"310",310,1833.301,325.452426140413
"311",311,1838.372,325.817440632973
"312",312,1842.9,325.415207169329
"313",313,1845.862,325.283698393326
"314",314,1849.319,324.73448188131
"315",315,1852.968,325.072254963334
"316",316,1856.578,325.457509525447
"317",317,1860.342,324.915322819659
"318",318,1864.194,324.566738794862
"319",319,1868.21,325.946610801667
"320",320,1871.587,325.560086314033
"321",321,1875.806,325.434654082933
"322",322,1879.577,325.679912608187
"323",323,1882.5,325.452471662624
"324",324,1886.84,325.834495593267
"325",325,1890.2,325.59952556945
"326",326,1893.035,325.354073354012
"327",327,1896.628,325.389141966522
"328",328,1900.568,325.198092207158
"329",329,1905.311,325.035404676619
"330",330,1909.383,324.766940862023
"331",331,1914.233,325.513117247985
"332",332,1917.546,325.349356981212
"333",333,1921.721,325.783981130689
"334",334,1925.762,325.707640105084
"335",335,1929.282,325.509026914159
"336",336,1934.047,326.647083422014
"337",337,1937.188,326.65191891696
"338",338,1940.345,326.20143984102
"339",339,1944.25,326.505870672464
"340",340,1948.763,327.117040811679
"341",341,1952.54,327.263269628059
"342",342,1955.592,327.358881616756
"343",343,1959.677,328.005817764697
"344",344,1964.409,328.874033406179
"345",345,1968.048,328.794156415976
"346",346,1971.721,328.906075294096
"347",347,1975.154,329.055657769183
"348",348,1979.577,329.50862812225
"349",349,1983.238,329.668625681545
"350",350,1986.362,329.267693784511
"351",351,1990.023,329.041597436926
"352",352,1992.977,328.927073209991
"353",353,1996.115,328.357324126183
"354",354,1999.44,328.347081921259
"355",355,2003.177,328.360418192015
"356",356,2006.817,328.366377677418
"357",357,2012.27,329.43937743294
"358",358,2015.64,329.125282911921
"359",359,2019.882,329.779457465996
"360",360,2023.337,329.927373072473
"361",361,2028.221,331.457357949917
"362",362,2033.184,331.843152742409
"363",363,2036.372,331.861147827578
"364",364,2040.125,332.412926536753
"365",365,2043.786,332.479937910715
"366",366,2047.372,332.606206352955
"367",367,2051.066,332.356315367054
"368",368,2054.127,332.599451692672
"369",369,2057.721,333.245263379038
"370",370,2060.721,332.845061543647
"371",371,2064.185,333.070891844355
"372",372,2068.855,333.092726939121
"373",373,2071.907,332.572230710322
"374",374,2075.117,332.477410570312
"375",375,2078.932,332.396833665772
"376",376,2082.986,332.108436836251
"377",377,2085.924,332.109766675298
"378",378,2089.933,331.862078204109
"379",379,2092.848,331.576268327089
"380",380,2096.265,331.885508520281
"381",381,2099.777,333.127857496848
"382",382,2103.267,333.844025773331
"383",383,2106.894,333.895050380608
"384",384,2110.373,333.222624064136
"385",385,2113.966,333.620238156062
"386",386,2117.481,333.476638323147
"387",387,2120.429,332.832881016413
"388",388,2123.099,332.841951929086
"389",389,2126.301,332.888556712588
"390",390,2129.199,332.83945905572
"391",391,2132.16,332.836413991135
"392",392,2136.59,333.342215947715
"393",393,2140.543,333.542775268681
"394",394,2143.411,332.951144379387
"395",395,2146.653,332.330597774591
"396",396,2150.269,332.819147923049
"397",397,2153.17,332.497024605291
"398",398,2156.842,332.579696148593
"399",399,2159.833,332.073283744382
"400",400,2163.802,331.961496609518
"401",401,2167.124,332.300165549197
"402",402,2170.885,332.621774723213
"403",403,2173.455,332.749807527231
"404",404,2177.52,333.050347746604
"405",405,2180.569,332.673899129707
"406",406,2183.798,332.570365853971
"407",407,2188.458,332.694321784649
"408",408,2192.369,332.875184908289
"409",409,2194.993,332.622471669699
"410",410,2198.088,332.400099401432
"411",411,2201.422,332.067060167745
"412",412,2204.405,331.48462261473
"413",413,2207.002,331.594869009086
"414",414,2209.994,331.294004898491
