rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
1089,Ophioscolecidae sp 19,Ophioscolecidae,Ophioscolecidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,1075312,Ophioscolecidae,"Lütken, 1869",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,,,,,,UK-1,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1090,Ophioscolecidae sp 20,Ophioscolecidae,Ophioscolecidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,1075312,Ophioscolecidae,"Lütken, 1869",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,,,,,,APEI-3,,,IFREMER,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1091,Ophiotoma sp 21,Ophiotoma,Ophiotoma,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123606,Ophiotoma,"Lyman, 1883",Animalia,Echinodermata,Ophiuroidea,Ophiacanthida,Ophiotomidae,Ophiotoma,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1092,Ophioleucidae sp 22,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,UK-1,BGR,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1093,Ophiocymbium sp 24,Ophiocymbium,Ophiocymbium,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,182840,Ophiocymbium,"Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,Ophiocymbium,,,,,APEI-3,UK-1,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1094,Ophiocymbium sp 25,Ophiocymbium,Ophiocymbium,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,182840,Ophiocymbium,"Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophioscolecidae,Ophiocymbium,,,,,UK-1,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1095,Ophiomyces sp 26,Ophiomyces,Ophiomyces,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123600,Ophiomyces,"Lyman, 1869",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiomyces,,,,,UK-1,,,,,,,,,,table 2- what species in what contract area,y,2012,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1096,Ophiotholia sp 28,Ophiotholia,Ophiotholia,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,242434,Ophiotholia,"Lyman, 1880",Animalia,Echinodermata,Ophiuroidea,Ophioscolecida,Ophiohelidae,Ophiotholia,,,,,APEI-3,UK-1,BGR,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1097,Ophioleucidae sp 29,Ophioleucidae,Ophioleucidae,family,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123198,Ophioleucidae,"Matsumoto, 1915",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophioleucidae,,,,,,UK-1,BGR,IFREMER,GSR,IOM,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
1098,Ophiernus sp 31,Ophiernus,Ophiernus,genus,temporary name,Christodoulou_etal_2020,,2020,,,,,,,S table 1,,EBS,,,temporary name,undescribed new species,MOTU,megafauna,morphology and molecular data,,,,,,exact,,accepted,123549,Ophiernus,"Lyman, 1878",Animalia,Echinodermata,Ophiuroidea,Ophioleucida,Ophiernidae,Ophiernus,,,,,BGR,,,,,,,,,,table 2- what species in what contract area,y,2013,2012; 2013; 2014; 2015,BIONOD; MANGAN 2012; MANGAN 2013; Ecoresponse; ABYSSLINE AB01; AB02,
