rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,to_do,note,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,UPSET_NOTE,UPSET_CAT,INTERP_AREA1,latitude,longitude,station,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
2229,Prionospio sp. E,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2230,Prionospio sp. F,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2231,Prionospio sp. H,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2232,Prionospio sp. K,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2233,Prionospio sp. L,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2234,Prionospio sp. N,Prionospio,Prionospio,genus,temporary name,Guggolz_etal_2020,,2020,,,,,,,,,,,"box core; megacore; EBS, ROV",,,temporary name,undescribed new species,MOTU,macrofauna,morphology and molecular data,,,,,,exact,,accepted,129620,Prionospio,"Malmgren, 1867",Animalia,Annelida,Polychaeta,Spionida,Spionidae,Prionospio,,,,,,,,,,,GSR,IFR2,IOM,UK-1,OMS1,APEI-6,,,,,,y,2013,2013; 2015,SO239 EcoResponse; ABYSSLINE AB01; AB02,
2235,Coryphaenoides spp.,Coryphaenoides,Coryphaenoides,genus,genus,Harbour_etal_2020,,2020,spp.,,,,,,,59,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,,,exact,,accepted,125748,Coryphaenoides,"Gunnerus, 1765",Animalia,Chordata,Actinopteri,Gadiformes,Macrouridae,Coryphaenoides,,,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2236,Barathrites iris,Barathrites iris,Barathrites iris,species,species,Harbour_etal_2020,,2020,,,,,,,,23,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,no habitat info,,exact,,accepted,126664,Barathrites iris,"Zugmayer, 1911",Animalia,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Barathrites,,iris,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2237,Pachycara nazsa,Pachycara nazca,Pachycara nazca,species,species,Harbour_etal_2020,,2020,,,,,,,,42,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,no habitat info,,near_1,misspelling,accepted,274144,Pachycara nazca,"Anderson & Bluhm, 1997",Animalia,Chordata,Actinopteri,Perciformes,Zoarcidae,Pachycara,,nazca,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2238,Bassozetus sp.,Bassozetus,Bassozetus,genus,genus,Harbour_etal_2020,,2020,,,,,,,,12,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,,,exact,,accepted,125856,Bassozetus,"Gill, 1883",Animalia,Chordata,Actinopteri,Ophidiiformes,Ophidiidae,Bassozetus,,,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2239,Bathysaurus sp.,Bathysaurus,Bathysaurus,genus,genus,Harbour_etal_2020,,2020,,,,,,,,1,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,,,exact,,accepted,125684,Bathysaurus,"Günther, 1878",Animalia,Chordata,Actinopteri,Aulopiformes,Bathysauridae,Bathysaurus,,,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2240,Cerataspis monstrosus,Cerataspis monstrosus,Cerataspis monstrosus,species,species,Harbour_etal_2020,,2020,,,,,,,,19,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,benthic,,exact,,accepted,589796,Cerataspis monstrosus,"Gray, 1828",Animalia,Arthropoda,Malacostraca,Decapoda,Aristeidae,Cerataspis,,monstrosus,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2241,Hymenopenaeus nereus,Hymenopenaeus nereus,Hymenopenaeus nereus,species,species,Harbour_etal_2020,,2020,,,,,,,,35,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,benthic,,exact,,accepted,377453,Hymenopenaeus nereus,"(Faxon, 1893)",Animalia,Arthropoda,Malacostraca,Decapoda,Solenoceridae,Hymenopenaeus,,nereus,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2242,Munidopsis sp.,Munidopsis,Munidopsis,genus,genus,Harbour_etal_2020,,2020,,,,,,,,5,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,,,exact,,accepted,106836,Munidopsis,"Whiteaves, 1874",Animalia,Arthropoda,Malacostraca,Decapoda,Munidopsidae,Munidopsis,,,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2243,Plesiodiadema sp.,Plesiodiadema,Plesiodiadema,genus,genus,Harbour_etal_2020,,2020,,,,,,,,2,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,,,exact,,accepted,123393,Plesiodiadema,"Pomel, 1883",Animalia,Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,Plesiodiadema,,,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2244,Asteroid,Asteroidea,Asteroidea,class,class,Harbour_etal_2020,,2020,,,,,,,,2,,,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,,,,,exact,,accepted,123080,Asteroidea,"de Blainville, 1830",Animalia,Echinodermata,Asteroidea,,,,,,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2245,Cophiomusium cf. glabrum,Ophiosphalma glabrum,Ophiomusium,genus,temporary name,Harbour_etal_2020,,2020,cf.,,,,,,,6,,,baited camera lander,,,temporary name,temp name- sciname with qualifier,,megafauna,morphology only (imagery),,,no,benthic,,exact,unaccepted,unaccepted,244923,Ophiosphalma glabrum,"(Lütken & Mortensen, 1899)",Animalia,Echinodermata,Ophiuroidea,Ophiurida,Ophiosphalmidae,Ophiomusium,,glabrum,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2246,Eurythenes gryllus,Eurythenes gryllus,Eurythenes gryllus,species,species,Harbour_etal_2020,,2020,,,,,,,,5,,poss misidentification,baited camera lander,,,record,record,,megafauna,morphology only (imagery),,I ONLY,,"benthic, likely misidentification- polar",,exact,,accepted,102563,Eurythenes gryllus,"(Lichtenstein in Mandt, 1822)",Animalia,Arthropoda,Malacostraca,Amphipoda,Eurytheneidae,Eurythenes,,gryllus,,,,,,,,,BGR,,,,,,,,,,,,,2018,,
2247,Halalaimus abyssus,Halalaimus abyssus,Halalaimus abyssus,species,species,Hauqiuer_etal_2019,,2019,,,,,,,,,,,multicorer,,,record,record,,meiofauna,morphology only (specimens),,,,benthic,,exact,,accepted,583437,Halalaimus abyssus,"Bussau, 1993",Animalia,Nematoda,Enoplea,Enoplida,Oxystominidae,Halalaimus,,abyssus,,,,,,,,,APEI-3,IFR2,GSR,IOM,BGR,,,,,,BGR RA and PA,,2015,2015,SO239 EcoResponse,
2248,Acantholaimus,Acantholaimus,Acantholaimus,genus,genus,Hauqiuer_etal_2019,,2019,,,,,,,,,,,multicorer,,,record,record,,meiofauna,morphology only (specimens),,,,,,exact,,accepted,2303,Acantholaimus,"Allgén, 1933",Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,,,,,,,,,,APEI-3,IFR2,GSR,IOM,BGR,,,,,,,,2015,2015,SO239 EcoResponse,
2249,Chromadorita,Chromadorita,Chromadorita,genus,genus,Hauqiuer_etal_2019,,2019,,,,,,,,,,,multicorer,,,record,record,,meiofauna,morphology only (specimens),,,,,,exact,,accepted,2294,Chromadorita,"Filipjev, 1922",Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Chromadorita,,,,,,,,,,,APEI-3,IFR2,GSR,IOM,BGR,,,,,,,,2015,2015,SO239 EcoResponse,
2250,Daptonema,Daptonema,Daptonema,genus,genus,Hauqiuer_etal_2019,,2019,,,,,,,,,,,multicorer,,,record,record,,meiofauna,morphology only (specimens),,,,,,exact,,accepted,2455,Daptonema,"Cobb, 1920",Animalia,Nematoda,Chromadorea,Monhysterida,Xyalidae,Daptonema,,,,,,,,,,,APEI-3,IFR2,GSR,IOM,BGR,,,,,,,,2015,2015,SO239 EcoResponse,
2251,Endeolophos,Endeolophos,Endeolophos,genus,genus,Hauqiuer_etal_2019,,2019,,,,,,,,,,,multicorer,,,record,record,,meiofauna,morphology only (specimens),,,,,,exact,,accepted,227169,Endeolophos,"Boucher, 1976",Animalia,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Endeolophos,,,,,,,,,,,APEI-3,IFR2,GSR,IOM,BGR,,,,,,,,2015,2015,SO239 EcoResponse,
2252,Leptolaimus,Leptolaimus,Leptolaimus,genus,genus,Hauqiuer_etal_2019,,2019,,,,,,,,,,,multicorer,,,record,record,,meiofauna,morphology only (specimens),,,,,,exact,,accepted,2407,Leptolaimus,"de Man, 1876",Animalia,Nematoda,Chromadorea,Plectida,Leptolaimidae,Leptolaimus,,,,,,,,,,,APEI-3,IFR2,GSR,IOM,BGR,,,,,,,,2015,2015,SO239 EcoResponse,
