rec,name_verbatim,scientificName,sciname_sensu_stricto,taxonRank,TR_w_TCID,reference,ref2,year_published,qualifier,qual2,QUAL_LEVEL,qual2_interp,typeStatus,incl_in_analysis,data_source,individualCount,to_do,note,samplingMethod,nod_assoc,cat_note,CAT_ED,CAT_EXPANDED,temp_name_cat,size_cat,descr_id_with,description_dets,IMAGERY ONLY.ID,short_checklist,spp_habitat_info,other_rank,Match.type,taxon_note,Taxon.status,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,depth,UPSET_NOTE,UPSET_CAT,INTERP_AREA1,latitude,longitude,station,area1,area2,area3,area4,area5,area6,area7,area8,area9,area10,site_notes,multi-exped-year,year_est,date_year,expedition,
3724,Tentaculata CTE_002,Tentaculata,Tentaculata,class,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1249,Tentaculata,"Eschscholtz, 1825",Animalia,Ctenophora,Tentaculata,,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3725,Tentaculata CTE_003,Tentaculata,Tentaculata,class,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1249,Tentaculata,"Eschscholtz, 1825",Animalia,Ctenophora,Tentaculata,,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3726,Tentaculata CTE_009,Tentaculata,Tentaculata,class,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1249,Tentaculata,"Eschscholtz, 1825",Animalia,Ctenophora,Tentaculata,,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3727,Lobata CTE_004,Lobata,Lobata,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1258,Lobata,"Eschscholtz, 1825",Animalia,Ctenophora,Tentaculata,Lobata,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3728,Lobata CTE_005,Lobata,Lobata,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1258,Lobata,"Eschscholtz, 1825",Animalia,Ctenophora,Tentaculata,Lobata,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3729,Lobata CTE_006,Lobata,Lobata,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1258,Lobata,"Eschscholtz, 1825",Animalia,Ctenophora,Tentaculata,Lobata,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3730,Mertensiidae CTE_008,Mertensiidae,Mertensiidae,family,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,106323,Mertensiidae,"L. Agassiz, 1860",Animalia,Ctenophora,Tentaculata,Cydippida,Mertensiidae,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3731,Platyctenida CTE_010,Platyctenida,Platyctenida,genus,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,22585,Platyctenida,"Bourne, 1900",Animalia,Ctenophora,Tentaculata,Platyctenida,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3732,Platyctenida CTE_011,Platyctenida,Platyctenida,genus,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,22585,Platyctenida,"Bourne, 1900",Animalia,Ctenophora,Tentaculata,Platyctenida,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3733,Platyctenida CTE_012,Platyctenida,Platyctenida,genus,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,22585,Platyctenida,"Bourne, 1900",Animalia,Ctenophora,Tentaculata,Platyctenida,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3734,Platyctenida CTE_013,Platyctenida,Platyctenida,genus,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,22585,Platyctenida,"Bourne, 1900",Animalia,Ctenophora,Tentaculata,Platyctenida,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3735,Actiniaria ACT_001,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3736,Actiniaria ACT_037,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3737,Actiniaria ACT_028,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3738,Actiniaria ACT_002,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3739,Actiniaria ACT_062,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3740,Actiniaria ACT_072,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3741,Actiniaria ACT_019,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3742,Actiniaria ACT_063,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3743,Actiniaria ACT_067,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3744,Actiniaria ACT_071,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3745,Actiniaria ACT_078,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3746,Actiniaria ACT_073,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3747,Actiniaria ACT_079,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3748,Actiniaria ACT_022,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3749,Actiniaria ACT_026,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3750,Actiniaria ACT_068,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3751,Actiniaria ACT_004,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3752,Actiniaria ACT_047 ,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3753,Actiniaria ACT_006,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3754,Actiniaria ACT_075,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3755,Actiniaria ACT_009,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3756,Actiniaria ACT_088,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3757,Actiniaria ACT_074,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3758,Actiniaria ACT_013,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3759,Actiniaria ACT_010,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3760,Actiniaria ACT_087,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3761,Actiniaria ACT_035,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3762,Actiniaria ACT_081,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3763,Actiniaria ACT_083,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3764,Actiniaria ACT_036,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3765,Actiniaria ACT_064,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3766,Actiniaria ACT_061 ,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3767,Actiniaria ACT_085,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3768,Actiniaria ACT_086,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3769,Actiniaria ACT_082,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3770,Actiniaria ACT_041,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3771,Actiniaria ACT_033,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3772,Actiniaria ACT_015,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3773,Actiniaria ACT_016,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3774,Actiniaria ACT_024,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3775,Actiniaria ACT_034,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3776,Actiniaria ACT_048,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3777,Actiniaria ACT_040,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3778,Actiniaria ACT_065,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3779,Actiniaria ACT_051,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3780,Actiniaria ACT_052,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3781,Actiniaria ACT_053,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
3782,Actiniaria ACT_057,Actiniaria,Actiniaria,order,temporary name,Simon-Lledó invertebrates catalog,,NA,,,,,,no- unpublished,,,,,ROV imagery,,,temporary name,poss undescribed new species,MORPHOTYPE,megafauna,morphology only (imagery),morphology only (ROV imagery),,no,,,exact,,accepted,1360,Actiniaria,"Hertwig, 1882",Animalia,Cnidaria,Anthozoa,Actiniaria,,,,,,,don't include,no,,,,,,,,,,,,,,,,,,NA,NA,
