rec,reference,full_citation,INCL,year_published,size_cat,descr_id_with,new_gen_data_publ,OA,oa_cat-2ndary=repositary,DESCRIPTION,TOT_SAMPLING_EVENTS,stn_tot,samplingMethod,SINGLETON_ANALYSIS,paper_singleton_count,single_my_est,single_analysis_notes,incl_notes,year_survey/coll,TO_DO-GEN_NOTES,tot_taxa/morphospp,tot_ind,area sampled,id_notes,expedition,region_sampled,new family,new genus,new species,record,temp name record,tot_taxa_records,cumul_tot,desc_tot,cumul_desc_tot,cumul_new_sp,paper_notes,functional_group/sub-cat-fauna,categ,synthesis_muli-datasets,journal,article_type,key_provided,found_via,SITE_ADDED,site_table-lat-long-depth,site_mapping,,,,,
47,Mahatma_etal_2008,"Mahatma, R., Arbizu, P.M. and Ivanenko, V.N., 2008. A new genus and species of Brychiopontiidae Humes, 1974 (Crustacea: Copepoda: Siphonostomatoida) associated with an abyssal holothurian in the Northeast Pacific nodule province. Zootaxa, 1866(1), pp.290-302.",yes,2008,meiofauna,morphology only (specimens),no,n,,y,1,1 dive/stn,,y,,,,,,,,,,,,,,1,1,1,,3,2719,2,139,112,,,,,,,,,YES,,,,,,,
55,Malyutina_2011,"Malyutina, M.V., 2011. Description of two new species of munnopsid isopods (Crustacea: Isopoda: Asellota) from manganese nodules area of the Clarion-Clipperton Fracture Zone, Pacific Ocean. Zootaxa, 2783(1), pp.1-20.",yes,2011,macrofauna,morphology only (specimens),no,n,,y,na,,NA,y,,,,,"2000, 2003, 2006 and 2007",,,,,,combination (multiple YUZ expeditions),,,,2,,,2,2721,2,141,114,,nodule fauna,taxonomy/species description,,Zootaxa,article,,,YES,y- in text,,,,,,
150,Malyutina_etal_2020,"Malyutina, M.V., Kihara, T.C. and Brix, S., 2020. A new genus of Munnopsidae Lilljeborg, 1864 (Crustacea, Isopoda), with descriptions of two abyssal new species from the Clarion Clipperton Fracture Zone, north-eastern tropical Pacific. Marine Biodiversity, 50, pp.1-31.. https://doi.org/10.1007/s12526-020-01061-z",yes,2020,macrofauna,morphology and molecular data,yes,n,,y,,,EBS,y,,,where is paper?4,,2015,,,,,,SO239 EcoResponse,,,1,2,,,3,2724,3,144,116,"all info in BoLD database- Brix et al., 2019. 862 sequences in BOLD  Dataset-DSLOCOM Locomotion of adult isopods influences distribution",,taxonomy/species description,,Marine Biodiversity,article,,,YES,y,,,,,,
96,Markhaseva_etal_2017,"Markhaseva, E.L., Mohrbeck, I. and Renz, J., 2017. Description of Pseudeuchaeta vulgaris n. sp.(Copepoda: Calanoida), a new aetideid species from the deep Pacific Ocean with notes on the biogeography of benthopelagic aetideid calanoids. Marine Biodiversity, 47(2), pp.289-297.. https://doi.org/10.1007/s12526-016-0527-9",yes,2017,meiofauna,morphology only (specimens),no,n,,y,na,,EBS,y,,,,,2013,,,,,,ABYSSLINE AB01; Mangan 2013,,,,1,,,1,2725,1,145,117,,,taxonomy/species description,,Marine Biodiversity,article,,,YES,y- in text,,,,,,
64,Matsuyama_etal_2014,"Matsuyama, K., Janssen, A., Arbizu, P.M., Martha, S.O. and Freiwald, A., 2014. Bryozoans from RV Sonne deep-sea cruises SO 167 ‘Louisville’and SO 205 ‘Mangan’. Zootaxa, 3856(1), pp.100-116.",yes,2014,macrofauna,morphology only (specimens),no,n,,y,5,5 deployments,EBS,y,,,,,2010,,,,,,SO 205 MANGAN,,,,1,2,,3,2728,1,146,118,,,taxonomy/species description/ distributional records,,Zootaxa,article,,,YES,,,,,,,
196,Menzel_2011,"Menzel, L., 2011. First descriptions of copepodid stages, sexual dimorphism and intraspecific variability of Mesocletodes Sars, 1909 (Copepoda, Harpacticoida, Argestidae), including the description of a new species with broad abyssal distribution. ZooKeys, (96), p.39.",yes,2011,meiofauna,,no,yes,,,,,,no,,,,,,found july 2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,Mercado-Salas_etal_2019,"Mercado-Salas, N.F., Khodami, S. and Arbizu, P.M., 2019. Convergent evolution of mouthparts morphology between Siphonostomatoida and a new genus of deep-sea Aegisthidae Giesbrecht, 1893 (Copepoda: Harpacticoida). Marine Biodiversity, 49(4), pp.1635-1655.. https://doi.org/10.1007/s12526-018-0932-3",yes,2019,meiofauna,morphology and molecular data,yes,n,,y,3,3 stations,EBS,y,,,,,2015,,,,,,SO239 EcoResponse,,,1,2,,,3,2731,3,149,120,"no molecular methods- a phylogenetics paper in prep ""The inclusion of the new genus within the Aegisthidae was also tested by molecular methods, and the phylogenetic position of
Siphonis gen. nov. will be discussed in a future paper""",,taxonomy/species description,,Marine Biodiversity,article,,,YES,y,,,,,,
57,Miljuntina&Miljutin_2012,"Miljutina, M.A. and Miljutin, D.M., 2012. Seven new and four known species of the genus Acantholaimus (Nematoda: Chromadoridae) from the abyssal manganese nodule field (Clarion-Clipperton Fracture Zone, North-Eastern Tropical Pacific). Helgoland Marine Research, 66(3), pp.413-462.",yes,2012,meiofauna,morphology only (specimens),no,yes,,y,14,14 stations,multicorer; ROV,y,,,,,2004,,11,,,,NODINAUT,,,,7,4,,11,2742,7,156,127,not in Paulos report,benthic fauna/epifauna,taxonomy/species description,,Helgoland Marine Research,article,,,,y,,,,,,
50,Miljutin&Miljuntina_2009a,"Miljutin, D.M. and Miljutina, M.A., 2009. Description of Bathynema nodinauti gen. n., sp. n. and four new Trophomera species (Nematoda: Benthimermithidae) from the Clarion-Clipperton Fracture Zone (Eastern Tropic Pacific), supplemented with the keys to genera and species. Zootaxa, 2096(1), pp.173-196.",yes,2009,meiofauna,morphology only (specimens),no,yes,,y,12,12 stations,multicorer; box core; ROV,y,,,,,2004,,7,,,,NODINAUT,,,,6,1,,7,2749,6,162,133,not in Paulos report,benthic fauna/epifauna,taxonomy/species description,,Zootaxa,article,,,,y- in text,,,,,,
51,Miljutin&Miljuntina_2009b,"Miljutin, D.M. and Miljutina, M.A., 2009. Deep-sea nematodes of the family Microlaimidae from the Clarion-Clipperton Fracture Zone (North-Eastern Tropic Pacific), with the descriptions of three new species. Zootaxa, 2096(1), pp.137-172.",yes,2009,meiofauna,morphology only (specimens),no,yes,,y,,,multicorer; box core; ROV,y,,,,,2004,,,,,,NODINAUT,,,,3,,,3,2752,3,165,136,not in Paulos report,benthic fauna/epifauna,taxonomy/species description,,Zootaxa,article,,,,y,,,,,,
80,Miljutin&Miljutina_2016,"Miljutin, D.M. and Miljutina, M.A., 2016. Intraspecific variability of morphological characters in the species-rich deep-sea genus Acantholaimus Allgén, 1933 (Nematoda: Chromadoridae). Nematology, 18(4), pp.455-473.",yes,2016,meiofauna,morphology only (specimens),yes,n,,,5,"5 stations, 5 cores",multicorer,get data,,,no- subset,,,,27,,,27 MOTUS,,,,,,1,,1,2753,0,165,136,sourced via GBIF Genbank records,,,,Nematology,article,,sourced via GBIF Genbank records,YES,,contract area not given- map to find,,,,,
56,Miljutin_etal_2011,"Miljutin, D.M., Miljutina, M.A., Arbizu, P.M. and Galéron, J., 2011. Deep-sea nematode assemblage has not recovered 26 years after experimental mining of polymetallic nodules (Clarion-Clipperton Fracture Zone, Tropical Eastern Pacific). Deep Sea Research Part I: Oceanographic Research Papers, 58(8), pp.885-897.",yes,2011,meiofauna,morphology only (specimens),no,n,,,,,multicorer; box core,get data,,,not avail,,,,137,,,137 species,,,,,,42,8,50,2803,0,165,136,,,,,,,,,,,,,,,,
70,Miljutin_etal_2015,"Miljutin, D., Miljutina, M. and Messié, M., 2015. Changes in abundance and community structure of nematodes from the abyssal polymetallic nodule field, Tropical Northeast Pacific. Deep Sea Research Part I: Oceanographic Research Papers, 106, pp.126-135.",yes,2015,meiofauna,morphology only (specimens),no,n,,,19,19 stations,multicorer,,,,,,,email for full list,,,,id'd to genus level,,IFREMER,,,,21,,21,2824,0,165,136,list most abundant genera only,,,,,,,,,,,,,,,
52,Miljutina_etal_2010,"Miljutina, M.A., Miljutin, D.M., Mahatma, R. and Galéron, J., 2010. Deep-sea nematode assemblages of the Clarion-Clipperton Nodule Province (tropical north-eastern Pacific). Marine Biodiversity, 40(1), pp.1-15. https://doi.org/10.1007/s12526-009-0029-0",yes,2010,meiofauna,morphology only (specimens),no,n,,,21,"14 stations, 21 cores",multicorer; box core,,,,,,2004,,325,2174,,"325 putative spp., 97 valide genera, 33 valid families",NODINAUT,,,,,39,,39,2863,0,165,136,,,community composition/species assemblages,,Marine Biodiversity,article,,,,y,,,,,,
106,Min_etal_2018,"Min, W.G., Kim, D., Rho, H.S., Chi, S.B. and Son, S.K., 2018. Distribution and variability of the meiobenthic assemblages near the Korean polymetallic nodule claim area of the Clarion-Clipperton Fracture zone (subequatorial NE Pacific). Ocean Science Journal, 53(2), pp.315-336.",yes,2018,meiofauna,morphology only (specimens),no,n,,,29,,NA,no,,,,,NA,,,,,,KODOS 1998; 1999; 2001; 2003; 2004; 2005,,,,,8,,8,2871,0,165,136,only id'd to high taxon level,,community composition/species assemblages,,Ocean Science Journal,article,,,,y,,,,,,
179,Mohrbeck_etal_2021,"Mohrbeck, I., Horton, T., Ja?d?ewska, A.M. and Arbizu, P.M., 2021. DNA barcoding and cryptic diversity of deep-sea scavenging amphipods in the Clarion-Clipperton Zone (Eastern Equatorial Pacific). Marine Biodiversity, 51(2), pp.1-15.",yes,2021,megafauna,morphology and molecular data,yes,yes,,,10,10 baited traps,baited trap,add,,,add,,2013; 2015,SPECIES BREAKDOWN BY SITE,10,645,,says morphospp but all are named (some with xf),ABYSSLINE AB01; ABYSSLINE AB02,,,,,10,,10,2881,0,165,136,,,genetic studies,,Marine Biodiversity,article,,,,y,,,,,,
97,Molodtsova&Opresko_2017,"Molodtsova, T.N. and Opresko, D.M., 2017. Black corals (Anthozoa: Antipatharia) of the clarion-clipperton fracture zone. Marine Biodiversity, 47(2), pp.349-365. https://doi.org/10.1007/s12526-017-0659-6",yes,2017,megafauna,morphology only (specimens),no,n,,y,na,,NA,y,,,,,2004; 2013,,,,,,NODINAUT; MANGAN 2013,,,1,1,5,,7,2888,2,167,137,,,taxonomy/species description,,Marine Biodiversity,article,,,,y- in text,,,,,,
20,Morgan_etal_1993,"Morgan, C. L., Nichols, J. A., Selk, B. W., Toth, J. R. and Wallin, C. 1993. ‘Preliminary analysis of exploration data from Pacific deposits of manganese nodules’, Marine Georesources and Geotechnology, 11, 1-25.",yes,1993,megafauna,morphology only (specimens and imagery),no,yes,,,na,,"ROV imagery (sills + video), dredges, box cores, free-fall grab samples",no,,,no site v spp list,,,,,,,,,16 OMCA expeditions,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Mullineaux_1987,"Mullineaux, L.S., 1987. Organisms living on manganese nodules and crusts: distribution and abundance at three North Pacific sites. Deep Sea Research Part A. Oceanographic Research Papers, 34(2), pp.165-184.",yes,1987,macrofauna,morphology only (specimens),no,n,,,21,21 box cores,box core,no,,,site info unclear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Neal_etal_2022a,"Abyssal fauna of polymetallic nodule exploration areas, eastern Clarion-Clipperton Zone, central Pacific Ocean: Annelida: Spionidae and Poecilochaetidae ",yes,2022,macrofauna,morphology and molecular data,yes,yes,,y,,,NA,y,,,,july 2022- not yet published,NA,add genbank nos),,,,,NA,,,,,,,,,,,,,,taxonomy/species description/distributional records,,Marine Biodiversity,article in prep,,,,Y,,,,,,
43,O’Loughlin&Ahearn_2005,"O’Loughlin, P.M. and Ahearn, C.Y.N.T.H.I.A., 2005. A review of pygal-furrowed Synallactidae (Echinodermata: Holothuroidea), with new species from the Antarctic, Atlantic and Pacific oceans. Memoirs of Museum Victoria, 62(2), pp.147-179.",yes,2005,megafauna,morphology only (speciimens),no,yes,,y,,,,,no info on other material,,,,,,,,,,,,,,1,2,,3,2891,1,168,138,,,,,,,,,YES,,,,,,,
98,Pape_etal_2017,"Pape, E., Bezerra, T.N., Hauquier, F. and Vanreusel, A., 2017. Limited spatial and temporal variability in meiofauna and nematode communities at distant but environmentally similar sites in an area of interest for deep-sea mining. Frontiers in Marine Science, 4, p.205.",yes,2017,meiofauna,morphology only (specimens),no,yes,,,13,13 multicores,multicorer,poss,,,not avail,,2015,,13,,,13 species,GSRNOD15A; SO239,,,,,25,,25,2916,0,168,138,"note in paper- ""Some genera are hard to distinguish based on morphological characteristics, especially when dealing with juveniles (e.g., Thalassomonhystera/Monhystrella, and Microlaimus/Aponema), so these were pooled in so-called genus groups""",,community composition/species assemblages,,Frontiers in Marine Science,article,,,,Y,,,,,,
197,Pape_etal_2021,"Pape, E., Bezerra, T.N., Gheerardyn, H., Buydens, M., Kieswetter, A. and Vanreusel, A., 2021. Potential impacts of polymetallic nodule removal on deep-sea meiofauna. Scientific reports, 11(1), pp.1-15.",yes,2021,meiofauna,,no,yes,,,,,,get data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Park_etal_2004,"Park, H.S., Chi, S.B., Paik, S.K. and Kim, W.S., 2004. Responses of benthic animals in spatial distribution to the sedimentary environments on the deep-sea floor, the Clarion-Clipperton fracture zone, Northeastern Pacific Ocean. Ocean and Polar Research, 26(2), pp.311-321.",yes,2004,meiofauna; macrofauna,morphology only (specimens),no,yes,,,8,8 stations,box core,,,,,,,contract area not given- some sites in Korea claim but longitude from north korea claim to APEI8 (only APEI8 sampling identified so far,,,,,,,,,,13,3,16,2932,0,168,138,,,,,,,,,YES,,,,,,,
151,Pasotti_etal_2020,"Pasotti; Francesca, P., Mevenkamp, L., Pape, E., B?a?ewicz, M., Bonifácio, P., Riehl, T., De Smet, B., Lefaible, N., Lins, L. and Vanreusel, A., 2021. A local scale analysis of manganese nodules influence on the Clarion-Clipperton Fracture Zone macrobenthos. Deep Sea Research Part I: Oceanographic Research Papers, 168, p.103449.",yes,2020,macrofauna,morphology only (specimens),no,yes,,,,,multicorer; box core,get data,,,,,2017,,89,,,subselected in 2 taxa,GSRNOD17,,,,,26,63,89,3021,0,168,138,,,community composition/species assemblages,,Deep Sea Research Part I: Oceanographic Research Papers,article,,,,Y- in supmat,,,,,,
152,Patel_etal_2020,"Patel, T., Robert, H., D'Udekem D'Acoz, C., Martens, K., Mesel, I.D., Degraer, S. and Schön, I., 2020. Biogeography and community structure of abyssal scavenging Amphipoda (Crustacea) in the Pacific Ocean. Biogeosciences, 17(10), pp.2731-2744.",yes,2020,macrofauna,morphology only (specimens),no,yes,,,13,13,baited trap,,,,,,2015,,17,6916,,,SO239; SO242-1; SO242-2,,,,,10,,10,3031,0,168,138,,,genetic studies,,Biogeosciences,article,,,,Y,,,,,,
81,Paterson_etal_2016,"Paterson, G.L., Neal, L., Altamira, I., Soto, E.H., Smith, C.R., Menot, L., Billett, D.S., Cunha, M.R., Marchais-Laguionie, C. and Glover, A.G., 2016. New Prionospio and Aurospio species from the deep sea (Annelida: Polychaeta). Zootaxa, 4092(1), pp.1-32.",yes,2016,macrofauna,morphology only (specimens),yes,n,,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Pawson&Foell_1985,"Pawson, D.L. and Foell, E.J., 1985. An annotated atlas of abyssal echinoderms from the Clipperton-Clarion Fracture Zone, equatorial eastern north Pacific. In Echinodermata (pp. 168-168). CRC Press.",yes,1985,megafauna,morphology only (specimens and imagery),no,n,,,na,,photographic survey; free-fall grab survey,no,,,no spp by sites,,,annotations on list after publication. Some overlap w 1988 report,1,,,given caveat on ids- list all as incertae sedis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pawson&Foell_1986,"Pawson D, Foell E (1986) Peniagone leander new species, an abyssal benthopelagic sea cucumber (Echinodermata: Holothuroidea) from the eastern central Pacific Ocean. Bulletin of Marine Science 38: 293–299.",yes,1986,megafauna,morphology only (imagery),no,yes,,y,na,,NA,,,,,,NA,email- type?,,,,,NA,,,,,,,,,,,,out of reporting period,benthi-pelagic,species description,,,,,,,,,,,,,
7,Pawson_1983,"Pawson, D.L., 1983. Psychronaetes hanseni, a new genus and species of elasipodan sea cucumber from the eastern central Pacific (Echinodermata: Holothuroidea). PROCEEDINGS OF THE BIOLOGICAL SOCIETY OF WASHINGTON; ISSN 0006-324X; USA; DA. 1983; VOL. 96; NO 1; PP. 154-159; BIBL. 2 REF",yes,1983,megafauna,morphology only (specimens),no,n,,y,na,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Pawson_1988,"Pawson, D. L., Abyssal plain megafauna in the Clarion Clipperton Fracture Zone, Eastern Central Pacific Ocean: Photographic survey of a manganese nodule field",yes,1988,megafauna,morphology only (specimens and imagery),no,n,,,na,,,,,,,yes- check if duplicate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,Petrov_etal_2016,"Petrov, N.B., Vladychenskaya, I.P., Dil’man, A.B. and Mironov, A.N., 2016. Taxonomic position of the family Porcellanasteridae within the class Asteroidea. Biology Bulletin, 43(6), pp.483-490.",yes,2016,megafauna,morphology and molecular data,yes,n,,,na,,,no,,,,,,,,,,,,,,,,2,,2,3033,0,168,138,"secondary reference- main ref unpublished- Petrov,N.B., Vladychenskaya,I.P., Dilman,A.B. and Mironov,A.N. TITLE     Molecular phylogeny of the porcellanasterid seastars(Asteroidea, Porcellanasteridae) JOURNAL   Unpublished",,genetics studies,,Biology Bulletin,article,,sourced via GBIF Genbank records,YES,,contract area not given- map to find,,,,,
58,Poltarukha&Melnick_2012,"Poltarukha, O.P. and Melnik, V.F., 2012. New records of deep-sea barnacles (Cirripedia: Thoracica: Scalpelliformes) from the Clarion-Clipperton region, Pacific Ocean. Zootaxa, 3297(1), pp.34-40.",yes,2012,macrofauna,morphology only (specimens),no,n,2ndary,,na,,,y,,,,,,,,,,,,,,,,3,,3,3036,0,168,138,,,,,,,,,,,,,,,,
185,Quintanilla_etal_2022,"Quintanilla Alcaide, E., Rodrigues, C.F., Henriques, I. and Hilário, A., Microbial associations of abyssal gorgonians and anemones (> 4000 meters depth) at the Clarion-Clipperton Fracture Zone. Frontiers in Microbiology, p.743.",yes,2022,megafauna,morphology and molecular data,yes,yes,,,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Radziejewska&Stoyanova_2000,"Radziejewska,T. Stoyanova,  S. 2000. Abyssal epibenthic megafauna of the Clarion-Clipperton area (NE Pacific): changes in time and space versus anthropogenic environmental disturbance. Oceanological Studies, 29(2), p.83.",yes,2000,megafauna,morphology only (ROV imagery),no,n,,,,10 stations?,,no,,,,,,,,,,,,,,,,5,,5,3041,0,168,138,done ILL,,,,,,,,,,,,,,,
35,Radziejewska_etal_2001,"Radziejewska, T., Drzycimski, I., Galtsova, V.V., Kulangieva, L.V. and Stoyanova, V., 2001. Changes in Genus-level Diversity of Meiobenthic Free-living Nematodes (Nematoda) and Harpacticoids (Copepoda Harpacticoida) at an Abyssal Site following Experimental Sediment Disturbance. In Proceedings of the ISOPE Ocean Mining Symposium (pp. 38-43).",yes,2001,meiofauna,morphology only (imagery),no,n,,,,,,no,,,,,,,,,,,,,,,,12,,12,3053,0,168,138,,,,,,,,,,,,,,,,
17,Renaud-Mornant&Gourbault_1990,"Renaud-Mornant, J. and Gourbault, N., 1990. Evaluation of abyssal meiobenthos in the eastern central Pacific (Clarion-Clipperton fracture zone). Progress in Oceanography, 24(1-4), pp.317-329.",yes,1990,meiofauna,morphology only (specimens),no,n,,,,,box core,no,,,,,NA,,,,,,NA,IFREMER,,,,,,,,,,,out of reporting period,,community composition/species assemblages,,,,,,,,,,,,,
1,Ridley&Dendy_1887,"Ridley, S.O.; Dendy, A. (1887). Report on the Monaxonida collected by H.M.S. 'Challenger' during the years 1873-76. Report on the Scientific Results of the Voyage of H.M.S. Challenger during the years 1873–76. Zoology. 20 (part 59): i-lxviii, 1-275, pl. 1-51, 1 map., available online at http://www.19thcenturyscience.org/HMSC/HMSC-Reports/Zool-59/README.htm",yes,1887,megafauna,morphology only (specimens),no,yes,,y,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,Riehl&DeSmet_2020,"Riehl, T. and De Smet, B., 2020. Macrostylis metallicola spec. nov.—an isopod with geographically clustered genetic variability from a polymetallic-nodule area in the Clarion-Clipperton Fracture Zone. PeerJ, 8, p.e8621. https://doi.org/10.7717/peerj.8621",yes,2020,macrofauna,morphology and molecular data,yes,yes,,y,,19 station,box core; EBS,y,,,,,2015,,,,,,GSRNOD15A,,,,1,,,1,3054,1,169,139,,,taxonomy/species description,,PeerJ,article,,,YES,,,,,,,
65,Riehl_etal_2014,"Riehl, T., Wilson, G.D. and Malyutina, M.V., 2014. Urstylidae—a new family of abyssal isopods (Crustacea: Asellota) and its phylogenetic implications. Zoological Journal of the Linnean Society, 170(2), pp.245-296.",yes,2014,macrofauna,morphology and molecular data,not avail,yes,,y,,,,y,,,,,,was sequencing done? Sequences published?,,,,,,,1,1,1,,,3,3057,3,172,140,,,taxonomy/species description,,Zoological Journal of the Linnean Society,,,,YES,,,,,,,
29,Roux&Pawson_1999,"Roux, M. and Pawson, D.L., 1999. Two new Pacific Ocean species of hyocrinid crinoids (Echinodermata), with comments on presumed giant-dwarf gradients related to seamounts and abyssal plains.",yes,1999,macrofauna,morphology only (specimens),no,n,2ndary,y,,,,y,,,,,,,,,,,,,,,,,,,,,,,http://www.19thcenturyscience.org/HMSC/HMSC-Reports/Zool-59/htm/doc092.html; http://www.19thcenturyscience.org/HMSC/HMSC-Reports/Zool-59/htm/doc093.html,,,,,,,,,,,,,,,
128,Sanchez_etal_2019,"Sánchez, N., Pardos, F. and Arbizu, P.M., 2019. Deep-sea Kinorhyncha diversity of the polymetallic nodule fields at the Clarion-Clipperton Fracture Zone (CCZ). Zoologischer Anzeiger, 282, pp.88-105. https://doi.org/10.1016/j.jcz.2019.05.007",yes,2019,meiofauna,morphology only (specimens),no,n,,y,272,272 cores,multicorer,y,,,,,2010; 2014; 2015; 2016,,18,723,,18 species,Mangan 2010; 2014; 2016; FLUM 2015; JPIO CCZ,,,,3,4,4,11,3068,3,175,143,,,taxonomy/species description,,Zoologischer Anzeiger,article,,,,y,,,,,,
154,Shimada_etal_2020,"Shimada, D., Takeda, N., Tsune, A. and Murakami, C., 2020. Three new species of free-living marine nematodes (Nematoda: Enoplida) from the Clarion-Clipperton Fracture Zone (CCFZ), North Pacific. Zootaxa, 4859(4), pp.zootaxa-4859.",yes,2020,meiofauna,morphology only (specimens),no,n,,y,na,,spade core; mulitcorer,y,,,,,2011; 2015; 2016,,,,,,Hakurei-maru No. 2 (2011); Kilo Moana (2015); Ka’imikai-O-Kanaloa (2016),,,,3,,,3,3071,3,178,146,"orig published 2009? Shimada, D., Kajihara, H. and Mawatari, S.F., 2009. Three new species of free-living marine nematodes (Nematoda: Enoplida) from northern Japan. Species Diversity, 14(2), pp.137-150.",benthic fauna/epifauna,taxonomy/species description,,Zootaxa,article,,,,,,,,,,
181,Shimada_etal_2021,"Shimada D, Takeda N, Tsune A, Murakami C. (2021). Two new species of Trophomera Rubtzov & Platonova, 1974 (Nematoda: Plectida: Benthimermithidae) from the Clarion-Clipperton Fracture Zone, North Pacific. Cahiers de Biologie Marine. 62: 157-167., available online at https://doi.org/10.21411/CBM.A.D150CC09 [details] ",yes,2021,meiofauna,morphology only (specimens),no,n,,y,na,10 stations,,y,,,types were only specimens examined,,,,,,,,,,,,2,,,2,3073,2,180,148,,,,,,,,,YES,,,,,,,
24,Shirayama&Fukushima_1997,"Shirayama Y, Fukushima T (1997). Responses of meiobenthos community to the rapid re-sedimentation. In: Proceedings of the international symposium on environmental impact of deep sea mining, MMAJ, Tokyo, Japan, pp 187–196",yes,1997,meiofauna,,no,n,,,na,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,Simon-Lledó_etal_2019a,"Simon-Lledó, E., Bett, B.J., Huvenne, V.A., Schoening, T., Benoist, N.M., Jeffreys, R.M., Durden, J.M. and Jones, D.O., 2019. Megafaunal variation in the abyssal landscape of the Clarion Clipperton Zone. Progress in oceanography, 170, pp.119-133. https://doi.org/10.1016/j.pocean.2018.11.003",yes,2019,megafauna,morphology only (imagery),no,yes,,,,,multibeam for seafloor imagery; megacore (no specimens ho?),no,,,"mega morphotype, ROV dives- tricky site records, ",,2015,,123,7116,,123 morphotypes,RRS James Cook cruise 120,,,,,14,3,17,3090,0,180,148,,,community composition/species assemblages,,Progress in Oceanography,article,,,,,,,,,,
130,Simon-Lledó_etal_2019b,"Simon?Lledó, E., Bett, B.J., Huvenne, V.A., Schoening, T., Benoist, N.M. and Jones, D.O., 2019. Ecology of a polymetallic nodule occurrence gradient: Implications for deep?sea mining. Limnology and Oceanography, 64(5), pp.1883-1894. https://doi.org/10.1002/lno.11157",yes,2019,megafauna,morphology only (imagery),no,yes,,,,,NA,no,,,"mega morphotype, ROV dives- tricky site records, ",,NA,,,,,,NA,,,,,10,6,16,3106,0,180,148,,,community composition/species assemblages,,Limnology and Oceanograph,article,,,,,,,,,,
155,Simon-Lledó_etal_2020,"Simon-Lledó, E., Pomee, C., Ahokava, A., Drazen, J.C., Leitner, A.B., Flynn, A., Parianos, J. and Jones, D.O., 2020. Multi-scale variations in invertebrate and fish megafauna in the mid-eastern Clarion Clipperton Zone. Progress in Oceanography, 187, p.102405. https://doi.org/10.1016/j.pocean.2020.102405",yes,2020,megafauna,morphology only (imagery),no,yes,,,na,,boxcore; towed camera,no,,,"mega morphotype, ROV dives- tricky site records, ",,2013; 2015,,,,,,RV Mt Mitchell 2013; RV Yuzhmorgeologiya (2015) NM,,,,,9,9,18,3124,0,180,148,,,community composition/species assemblages,,Progress in Oceanography,article,,,,,,,,,,
83,Singh_etal_2016,"Singh, R., Miljutin, D.M., Vanreusel, A., Radziejewska, T., Miljutina, M.M., Tchesunov, A., Bussau, C., Galtsova, V. and Martinez Arbizu, P., 2016. Nematode communities inhabiting the soft deep-sea sediment in polymetallic nodule fields: do they differ from those in the nodule-free abyssal areas?. Marine Biology Research, 12(4), pp.345-359.",yes,2016,meiofauna,morphology only (specimens),no,n,2ndary,,,,,no,,,no species- poss add anyway,,,most duplicates from existing studies,,,,,,,,,,561,,561,3685,0,180,148,"most of data in paper already been used in published studies (Bussau 1993; Radziejewska et al. 2001a; Miljutina et al. 2010; Miljutin et al. 2011; Singh et al. 2014), while data from the BIONOD cruise (2012) have not been published",,,,,,,,,,,,,,,
48,Smith_etal_2008,"Smith, C.R., Paterson, G., Lambshead, J., Glover, A., Rogers, A., Gooday, A., Kitazato, H., Sibuet, M., Galeron, J. and Menot, L., 2008. Biodiversity, species ranges, and gene flow in the abyssal Pacific nodule province: predicting and managing the impacts of deep seabed mining. ISA report",yes,2008,macrofauna,morphology and molecular data,yes,yes,,,na,,,y,,,,,,,50,,,,,,,,,70,,70,3755,0,180,148,,,,,,report,,,,,,,,,,
186,Stepien_etal_2022,"Stepien´ A, Józ´wiak P, Jakiel A, Pe?czyn´ ska A and B?az?ewicz M (2022) Diversity of Pacific Agathotanais (Peracarida: Tanaidacea). Front. Mar. Sci. 8:741536. doi: 10.3389/fmars.2021.741536",yes,2022,macrofauna,morphology and molecular data,yes,yes,,y,11,11 EBS deployments,,y,,,,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,Stratman_etal_2020,"Stratmann, T., Soetaert, K., Kersken, D. and van Oevelen, D., 2021. Polymetallic nodules are essential for food-web integrity of a prospective deep-seabed mining area in Pacific abyssal plains. Scientific reports, 11(1), pp.1-11.",yes,2020,aff,,no,yes,,,,,,NA,,,,while secondary data- in some cases don't have raw data eg Tilot 1992,,cross ref lists minus Peru basin records with my checklist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
