rec,reference,full_citation,INCL,year_published,size_cat,descr_id_with,new_gen_data_publ,OA,oa_cat-2ndary=repositary,DESCRIPTION,TOT_SAMPLING_EVENTS,stn_tot,samplingMethod,SINGLETON_ANALYSIS,paper_singleton_count,single_my_est,single_analysis_notes,incl_notes,year_survey/coll,TO_DO-GEN_NOTES,tot_taxa/morphospp,tot_ind,area sampled,id_notes,expedition,region_sampled,new family,new genus,new species,record,temp name record,tot_taxa_records,cumul_tot,desc_tot,cumul_desc_tot,cumul_new_sp,paper_notes,functional_group/sub-cat-fauna,categ,synthesis_muli-datasets,journal,article_type,key_provided,found_via,SITE_ADDED,site_table-lat-long-depth,site_mapping,,,,,
161,Bribiesca-Contreras_etal_2021,"Bribiesca-Contreras, G., Dahlgren, T.G., Drazen, J.C., Drennan, R., Horton, T., Jones, D.O., Leitner, A.B., McQuaid, K., Smith, C.R., Taboada, S. and Wiklund, H., 2021. Biogeography and connectivity across habitat types and geographical scales in Pacific abyssal scavenging amphipods. Frontiers in Marine Science, 8, p.1028.",yes,2021,macrofauna,morphology and molecular data,yes,yes,,,,,baited trap,y,,,,,2015; 2018,,17,886,,7 of species potentially new to science,DeepCCZ; JC120,,,,,11,23,34,921,0,47,39,,,,,Frontiers in Marine Science,article,,,,,use DeepCCZ/ABYSSLINE sites,,,,,
183,Bribiesca-Contreras_etal_2022,"Bribiesca-Contreras, G., Dahlgren, T.G., Amon, D.J., Cairns, S., Drennan, R., Durden, J.M., Eléaume, M.P., Hosie, A.M., Kremenetskaia, A., McQuaid, K. and O’Hara, T.D., 2022.  Benthic megafauna of the western Clarion-Clipperton Zone, Pacific Ocean. ZooKeys, 1113, pp.1-110.",yes,2022,megafauna,morphology and molecular data,yes,yes,,,add,,baited trap; ROV,y,,,,published july 2022,2018,to add at later stage (including genbank nos),,,,,DeepCCZ (Moore foundation Kilo Moana),,,,,,,,,,,,in press,,taxonomy/species description,,,article in prep,,,,,use DeepCCZ/ABYSSLINE sites,,,,,
138,Brix_etal_2020,"Brix, S., Osborn, K.J., Kaiser, S., Truskey, S.B., Schnurr, S.M., Brenke, N., Malyutina, M. and Martinez Arbizu, P., 2020. Adult life strategy affects distribution patterns in abyssal isopods–implications for conservation in Pacific nodule areas. Biogeosciences, 17(23), pp.6163-6184.",yes,2020,macrofauna,morphology and molecular data,yes,yes,,,22,,EBS,y,68 species,,waiting on,,2015,,149,619 (incl discol),,,SO239 EcoResponse,,,,,17,146,163,1084,0,47,39,additional BoLD database,,,,Biogeosciences,article,,,,y-supmat (Station nos only),NA,,,,,
162,Brix_etal_2021,"Brix, S., Held, C., Kaiser, S., Jennings, R.M., Driskell, A. and Brandt, A., 2021. Evolution and phylogeny of the deep-sea isopod families Desmosomatidae Sars, 1897 and Nannoniscidae Hansen, 1916 (Isopoda: Asellota). Organisms Diversity & Evolution, 21(4), pp.691-717.",yes,2021,macrofauna,morphology and molecular data,yes,yes,,,na,,,no,,,,occurrence records duplic but incl in genetic studies,,no new taxon records/genbank nos- include?,,,,,,,,,,,,,,,,,,,,,,,,,,,in type loc,,,,,
68,Cairns_2015,"Cairns, S.D., 2016. New abyssal Primnoidae (Anthozoa: Octocorallia) from the clarion-clipperton fracture zone, equatorial northeastern Pacific. Marine Biodiversity, 46(1), pp.141-150.",yes,2015,megafauna,morphology only (specimens),no,n,,y,,9 stations,N/A,y,,,types were only specimens examined,,2013,,3,,,,ABYSSLINE AB01,,,1,3,,,3,1087,4,51,42,includes table of all octocoral species records 3000m and greater,nodule fauna,taxonomy/species description,,Marine Biodiversity,article,,,,y,done sep table,,,,,
139,Chim_Tong_2020,"Chim, C.K. and Tong, S.J., 2020. Two new species of paratanaoid tanaidaceans of the family incertae sedis (Crustacea: Peracarida) from polymetallic nodule fields in the eastern Clarion-Clipperton Fracture Zone. Zootaxa, 4758(3), pp.461-485.",yes,2020,macrofauna,morphology only (specimens),no,n,,y,na,,box core,y,,,,,2015,,,,,,ABYSSLINE AB02,,,1,2,,,3,1090,3,54,44,"is a second paper also in zootaxa describing these species- Cho DH, Wi JH, Suh H-L (2016) Two new species of the deep-sea genus Parameiropsis (Copepoda: Harpacticoida) from the eastern central Pacific. Zootaxa 4132: 521. https://doi.org/10.11646/zootaxa.4132.4.4",benthic fauna/epifauna,taxonomy/species description,,Zootaxa,article,,,YES,y- in text,in type loc,,,,,
76,Cho_etal_2016,"Cho, D.H., Wi, J.H. and Suh, H.L., 2016. Two new species of the deep-sea genus Parameiropsis (Copepoda: Harpacticoida) from the eastern central Pacific. Zootaxa, 4132(4), pp.521-539.",yes,2016,macrofauna,morphology only (specimens),no,n,,y,na,,box core,y,,,no specimens other than holotypes listed,,2014,,,,,,KODOS,,,,2,,,2,1092,2,56,46,Paulo report- says 6 species?,,taxonomy/species description,,Zootaxa,article,,,YES,y- in text,NA,,,,,
41,Choi_etal_2004,"Choi, J.W., Kim, D.S., Hyun, J.H. and Lee, C.H., 2004. Macrozoobenthic communities of the deep sea sediments in the Northeastern Pacific Ocean. Ocean and Polar Research, 26(2), pp.367-376.",yes,2004,macrofauna,morphology only (specimens),no,yes,,,7,7 stations,box core,no,,,,,1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Christodoulou_etal_2019,"Christodoulou, M., O’Hara, T.D., Hugall, A.F. and Arbizu, P.M., 2019. Dark ophiuroid biodiversity in a prospective abyssal mine field. Current Biology, 29(22), pp.3909-3912.",yes,2019,megafauna,morphology and molecular data,yes,yes,,,na,,EBS,no,,,,,2012; 2013; 2014; 2015,,,,,,BIONOD; MANGAN 2012; 2013; Ecoresponse; ABYSSLINE AB01; AB02,,,,,18,,18,1110,0,56,46,,,genetic studies,,Current Biology,article,,,,,,,,,,
140,Christodoulou_etal_2020,"Christodoulou, M., O'Hara, T., Hugall, A.F., Khodami, S., Rodrigues, C.F., Hilario, A., Vink, A. and Martinez Arbizu, P., 2020. Unexpected high abyssal ophiuroid diversity in polymetallic nodule fields of the northeast Pacific Ocean and implications for conservation. Biogeosciences, 17(7), pp.1845-1876.",yes,2020,megafauna,morphology and molecular data,yes,yes,,,,,EBS,y,13,,list of samples used- may not be comprehensive,,2012; 2013; 2014; 2015,"email- coords, whether list samples comprehensive- can I use for singletons",,,,SSHs- secondary species hypotheses- equiv to OTUs?,BIONOD; MANGAN 2012; 2013; Ecoresponse; ABYSSLINE AB01; AB02,"5 contract areas, APEI3",,,,12,30,42,1152,0,56,46,"251 sequences at BOLD db- https://doi.org/10.5883/DS-CCZ1,",,genetic studies,,Biogeosciences,article,,,,y,add from supmat,,,,,
141,Chuar_etal_2020,"Chuar, C.H., Tong, S.J.W., Chim, C.K., San Wong, H.P. and Tan, K.S., 2020. Abyssal macrofaunal community structure in the polymetallic nodule exploration area at the easternmost region of the Clarion-Clipperton Fracture Zone, Pacific Ocean. Deep Sea Research Part I: Oceanographic Research Papers, 161, p.103284.",yes,2020,macrofauna,morphology only (specimens),no,n,,,12,12 box cores,box core,no,,,not spp level,,NA,,,5199,30x30km2,id'd to family level only,NA,,,,,36,,36,1188,0,56,46,only id'd to high taxon level,,,,Deep Sea Research Part I: Oceanographic Research Papers,article,,,,y,use ABYSSLINE sites,,,,,
142,Cuvelier_etal_2020,"Cuvelier, D., Ribeiro, P.A., Ramalho, S.P., Kersken, D., Martinez Arbizu, P. and Colaço, A., 2020. Are seamounts refuge areas for fauna from polymetallic nodule fields?. Biogeosciences, 17(9), pp.2657-2680.",yes,2020,megafauna (macrofauna),morphology only (ROV video),no,yes,,,9,9 ROV dives,ROV imagery,no,,,"mega morphotype, ROV dives- tricky site records, ",,2015,,,,,,SO239 EcoResponse,,,,,85,166,251,1439,0,56,46,,nodule fauna,,,Biogeosciences,article,,,,,,,,,,
77,Dahlgren_etal_2016,"Dahlgren, T.G., Wiklund, H., Rabone, M., Amon, D.J., Ikebe, C., Watling, L., Smith, C.R. and Glover, A.G., 2016. Abyssal fauna of the UK-1 polymetallic nodule exploration area, Clarion-Clipperton Zone, central Pacific Ocean: Cnidaria. Biodiversity data journal, (4): e9277. https://doi.org/10.3897/BDJ.4.e9277",yes,2016,macrofauna (megafauna),morphology and molecular data,yes,yes,,,add,,box core; megacore; EBS,y,,,,,2013,,10,18,,10 taxa total- all to spp level. 4 species identified to known species,ABYSSLINE AB01,,,,,5,7,12,1451,0,56,46,,,community composition/species assemblages,,Biodiversity data journal,article,,,,y,use ABYSSLINE sites,,,,,
22,Decraemer_Gourbault_1997,"Decraemer, W. and Gourbault, N., 1997. Deep?sea nematodes (Nemata, Prochaetosomatinae): new taxa from hydrothermal vents and a polymetallic nodule formation of the Pacific (East Rise; North Fiji and Lau Basins; Clarion?Clipperton fracture zone). Zoologica scripta, 26(1), pp.1-12.",yes,1997,meiofauna,morphology only (specimens),no,n,2ndary,y,,,NA,no,,,invalid spp,,NA,,,,,,NA,,,,,,,,,,,,unaccepted species name. Note- not a formal description as lack type specimens. Poss not in CCZ,benthic fauna/epifauna,species description,,,,,,,,,,,,,
89,deSmet_etal_2017,"De Smet, B., Pape, E., Riehl, T., Bonifácio, P., Colson, L. and Vanreusel, A., 2017. The community structure of deep-sea macrofauna associated with polymetallic nodules in the eastern part of the Clarion-Clipperton Fracture Zone. Frontiers in Marine Science, 4, p.103.",yes,2017,macrofauna,morphology only (specimens),no,yes,,,,,box core,y,,,,,2015,,,,,,GSRNOD15A,,,,,97,2,99,1550,0,56,46,,,genetic studies,,Frontiers in Marine Science,article,,,,,add from supmat,,,,,
163,DeSmet_etal_2021,"De Smet, B., Simon-Lledó, E., Mevenkamp, L., Pape, E., Pasotti, F., Jones, D. O., & Vanreusel, A. (2021). The megafauna community from an abyssal area of interest for mining of polymetallic nodules. Deep Sea Research Part I: Oceanographic Research Papers, 172, 103530.",yes,2021,megafauna,morphology only (imagery),no,yes,,,3,3 AUV dives,NA,no,,,"mega morphotype, ROV dives- tricky site records, ",,NA,,41,2426,,41 taxa,NA,,,,,26,23,49,1599,0,56,46,only id'd to high taxon level,,general ecology,,Deep Sea Research Part I: Oceanographic Research Papers,article,,,,y,,,,,,
164,Drazen_etal_2021,"Drazen, J.C., Leitner, A.B., Jones, D.O. and Simon-Lledó, E., 2021. Regional variation in communities of demersal fishes and scavengers across the Clarion Clipperton Zone and Pacific ocean. Frontiers in Marine Science, p.1110.",yes,2021,megafauna,morphology only (baited camera & visual transect),no,yes,,,157,,"baited camera, visual transects",y,,,missing site/spp vs site,,combination,,,,,,combination,"3 contract areas, 4 APEIs",,,,46,7,53,1652,0,56,46,,,community composition/species assemblages,yes,Frontiers in Marine Science,article,,,,,NA,,,,,
165,Drennan_etal_2021,"Drennan, R., Wiklund, H., Rabone, M., Georgieva, M.N., Dahlgren, T.G. and Glover, A.G., 2021. Neanthes goodayi sp. nov.(Annelida, Nereididae), a remarkable new annelid species living inside deep-sea polymetallic nodules. European Journal of Taxonomy, 760, pp.160-185.. https://doi.org/10.5852/ejt.2021.760.1447",yes,2021,macrofauna,morphology and molecular data,yes,yes,,y,na,,box core; EBS,y,,,,,2013; 2015,,1,,,,ABYSSLINE AB01; AB02,,,,1,,,1,1653,1,57,47,,,taxonomy/species description,,European Journal of Taxonomy,article,,,YES,y,use ABYSSLINE sites,,,,,
