"","Species","Individuals"
"N5481",913.100116554189,5481
"N5501",915.280396818658,5501
"N5521",917.457159123347,5521
"N5541",919.630419364622,5541
"N5561",921.80019315535,5561
"N5581",923.966496116026,5581
"N5601",926.129343663682,5601
"N5621",928.288751116737,5621
"N5641",930.444733691372,5641
"N5661",932.597306475737,5661
"N5681",934.746484410252,5681
"N5701",936.892282359146,5701
"N5721",939.034715062305,5721
"N5741",941.173797149691,5741
"N5761",943.309543113246,5761
"N5781",945.441967350483,5781
"N5801",947.571084190578,5801
"N5821",949.696907776986,5821
"N5841",951.819452179057,5841
"N5861",953.938731410965,5861
"N5881",956.054759278145,5881
"N5901",958.167549585827,5901
"N5921",960.277115951019,5921
"N5941",962.38347198292,5941
"N5961",964.486631089866,5961
"N5981",966.586606622991,5981
"N6001",968.683411889864,6001
"N6021",970.777059980423,6021
"N6041",972.867564019487,6041
"N6061",974.954936947729,6061
"N6081",977.039191625379,6081
"N6101",979.120340851981,6101
"N6121",981.198397307705,6121
"N6141",983.273373574094,6141
"N6161",985.34528216538,6161
"N6181",987.414135502804,6181
"N6201",989.479945938294,6201
"N6221",991.542725631586,6221
"N6241",993.602486822535,6241
"N6261",995.65924152164,6261
"N6281",997.713001722341,6281
"N6301",999.763779322806,6301
"N6321",1001.81158614583,6321
"N6341",1003.85643390336,6341
"N6361",1005.89833424819,6361
"N6381",1007.93729875046,6381
"N6401",1009.97333891411,6401
"N6421",1012.0064661078,6421
"N6441",1014.03669170034,6441
"N6461",1016.06402690334,6461
"N6481",1018.08848290968,6481
"N6501",1020.11007082721,6501
"N6521",1022.12880164173,6521
"N6541",1024.14468635055,6541
"N6561",1026.15773581923,6561
"N6581",1028.16796081559,6581
"N6601",1030.17537208476,6601
"N6621",1032.17998026075,6621
"N6641",1034.18179595535,6641
"N6661",1036.18082966043,6661
"N6681",1038.17709183849,6681
"N6701",1040.17059283229,6701
"N6721",1042.16134298579,6721
"N6741",1044.14935252925,6741
"N6761",1046.1346315958,6761
"N6781",1048.11719033337,6781
"N6801",1050.09703872669,6801
"N6821",1052.07418680417,6821
"N6841",1054.04864444665,6841
"N6861",1056.02042148351,6861
"N6881",1057.98952771005,6881
"N6901",1059.9559728511,6901
"N6921",1061.91976653182,6921
"N6941",1063.88091837349,6941
"N6961",1065.83943787904,6961
"N6981",1067.79533453504,6981
"N7001",1069.74861774267,7001
"N7021",1071.69929685415,7021
"N7041",1073.64738117059,7041
"N7061",1075.59287990689,7061
"N7081",1077.53580223847,7081
"N7101",1079.47615729106,7101
"N7121",1081.41395412953,7121
"N7141",1083.34920173509,7141
"N7161",1085.2819090712,7161
"N7181",1087.21208502394,7181
"N7201",1089.13973841938,7201
"N7221",1091.06487805849,7221
"N7241",1092.98751266381,7241
"N7261",1094.90765090239,7261
"N7281",1096.82530138295,7281
"N7301",1098.74047271907,7301
"N7321",1100.65317337199,7321
"N7341",1102.5634118405,7341
"N7361",1104.47119655348,7361
"N7381",1106.37653583007,7381
"N7401",1108.27943800496,7401
"N7421",1110.17991135079,7421
"N7441",1112.0779640424,7441
"N7461",1113.97360430552,7461
"N7481",1115.86684021175,7481
"N7501",1117.7576798211,7501
"N7521",1119.64613120689,7521
"N7541",1121.53220228116,7541
"N7561",1123.41590099421,7561
"N7581",1125.29723523994,7581
"N7601",1127.17621283577,7601
"N7621",1129.05284155179,7621
"N7641",1130.92712914113,7641
"N7661",1132.79908332119,7661
"N7681",1134.6687117041,7681
"N7701",1136.53602194588,7701
"N7721",1138.40102159148,7721
"N7741",1140.26371813141,7741
"N7761",1142.12411907025,7761
"N7781",1143.98223183564,7781
"N7801",1145.83806381608,7801
"N7821",1147.69162238865,7821
"N7841",1149.54291481934,7841
"N7861",1151.39194839054,7861
"N7881",1153.2387303659,7881
"N7901",1155.08326788033,7901
"N7921",1156.92556807414,7921
"N7941",1158.7656380678,7941
"N7961",1160.60348495467,7961
"N7981",1162.43911572344,7981
"N8001",1164.27253737545,8001
"N8021",1166.10375684208,8021
"N8041",1167.93278105261,8041
"N8061",1169.75961686818,8061
"N8081",1171.58427110193,8081
"N8101",1173.40675058426,8101
"N8121",1175.22706204219,8121
"N8141",1177.04521223118,8141
"N8161",1178.86120780619,8161
"N8181",1180.67505542405,8181
"N8201",1182.48676170392,8201
"N8221",1184.29633320121,8221
"N8241",1186.1037764675,8241
"N8261",1187.90909804032,8261
"N8281",1189.71230435083,8281
"N8301",1191.51340179235,8301
"N8321",1193.31239687588,8321
"N8341",1195.10929588457,8341
"N8361",1196.90410517714,8361
"N8381",1198.69683107971,8381
