"","sites","richness","sd"
"407",407,1966.84,306.453473984505
"408",408,1969.52,305.815005808704
"409",409,1972.86,305.167118315539
"410",410,1975.35,304.866070114519
"411",411,1978.6,303.626298750502
"412",412,1981.18,302.584936902689
"413",413,1983.92,301.288501626134
"414",414,1986.85,300.399342794746
"415",415,1990.83,299.669213424982
"416",416,2001.69,305.824624432191
"417",417,2010.75,307.627394157873
"418",418,2014.55,308.616966186537
"419",419,2017.22,308.314793218184
"420",420,2019.77,307.91379664058
"421",421,2024.1,306.930370809492
"422",422,2026.32,306.881837556774
"423",423,2035.96,305.541807881731
"424",424,2044.74,306.620800917934
"425",425,2046.7,305.982718862396
"426",426,2049.12,305.893831189182
"427",427,2051.54,305.632426620639
"428",428,2052.96,305.041209999534
"429",429,2055.69,304.674480869221
"430",430,2058.36,304.071812358047
"431",431,2060.25,303.824755942027
"432",432,2063.32,303.666047300037
"433",433,2065.1,303.666966037839
"434",434,2068.61,303.796612418855
"435",435,2071.2,302.866707355302
"436",436,2075.18,300.865666188266
"437",437,2077.78,300.096300368647
"438",438,2080.7,300.205468358462
"439",439,2083.12,300.148760423625
"440",440,2086.11,300.427368825468
"441",441,2090.26,299.144187388765
"442",442,2098.84,303.235006374444
"443",443,2101.47,304.775077025267
"444",444,2103.48,304.386267094887
"445",445,2107.46,306.545049007005
"446",446,2109.02,306.328567905691
"447",447,2119.49,310.176375208322
"448",448,2121.52,309.995649366669
"449",449,2123.99,311.076121607467
"450",450,2127.27,313.585548233024
"451",451,2128.71,314.147501063183
"452",452,2131.18,313.812637274427
"453",453,2134.12,315.939173278847
"454",454,2135.74,315.386683295284
"455",455,2138.96,315.323656716156
"456",456,2142.72,316.640065230367
"457",457,2151.78,317.089783671898
"458",458,2161.64,322.167016099765
"459",459,2171.54,326.822950246889
"460",460,2173.19,326.884611742339
"461",461,2175.5,327.389598941306
"462",462,2178.49,326.644510534964
"463",463,2181.57,325.965179245894
"464",464,2185.2,325.58584338718
"465",465,2187.6,326.685559132103
"466",466,2189.79,326.083130474114
"467",467,2191.52,326.285073349838
"468",468,2194.03,327.07616432985
"469",469,2196.15,327.748929992321
"470",470,2199.01,326.868413119025
"471",471,2203.03,328.889482988134
"472",472,2205.83,329.579715683321
"473",473,2207.52,330.370299738785
"474",474,2209.86,330.487702670102
"475",475,2211.82,330.470627983178
"476",476,2214.3,329.935270664236
"477",477,2215.95,329.539022229109
"478",478,2218.89,330.607640595619
"479",479,2222,331.104457258071
"480",480,2223.8,330.835031672612
"481",481,2226.14,330.500814345182
"482",482,2228.86,330.701611667672
"483",483,2232.3,330.528120413133
"484",484,2236.39,330.096340237792
"485",485,2239.11,330.188801056962
"486",486,2241.54,330.352044236619
"487",487,2251.32,326.925095056617
"488",488,2253.14,327.384400756337
"489",489,2254.62,327.09359177119
"490",490,2257.76,327.716745148162
"491",491,2260.89,328.239192625984
"492",492,2263.52,328.207604907613
"493",493,2265.9,327.719407574544
"494",494,2268.66,326.091212994032
"495",495,2270.18,325.658877733227
"496",496,2272.6,326.060786301629
"497",497,2274.34,326.123860091855
"498",498,2275.97,326.332620019649
"499",499,2278.94,325.15605639462
"500",500,2281.23,324.739735881838
"501",501,2284.26,324.137631947363
"502",502,2287.23,323.408265450369
"503",503,2290.56,323.74841585354
"504",504,2293.95,324.159375161433
"505",505,2297.3,326.33478812317
"506",506,2306.69,326.302632505161
"507",507,2308.68,325.784674503596
"508",508,2310.67,325.290330460205
"509",509,2312.68,324.810243904737
"510",510,2315.04,324.548137158933
