"","sites","richness","sd"
"312",312,1699.44,332.491309827958
"313",313,1703.34,333.604260200979
"314",314,1705.95,332.494015287524
"315",315,1710.06,332.327598503755
"316",316,1712.67,331.727953984203
"317",317,1717.07,329.647692409808
"318",318,1720.03,329.041351826972
"319",319,1724.13,328.77306824623
"320",320,1726.09,329.177705069999
"321",321,1728.1,328.865834914084
"322",322,1731.56,328.795884611371
"323",323,1733.91,327.939699279664
"324",324,1737.9,327.795221244464
"325",325,1740.86,328.298060557257
"326",326,1743.65,328.650573550313
"327",327,1747.38,328.422608382812
"328",328,1749.76,328.320831018697
"329",329,1752.5,329.106150938962
"330",330,1756.51,328.859108175983
"331",331,1759.55,328.83112165009
"332",332,1762.55,329.371436116268
"333",333,1766.06,328.714693768
"334",334,1768.48,327.587461680854
"335",335,1771.06,327.871889861903
"336",336,1773.13,327.970424110024
"337",337,1776.29,326.370592326198
"338",338,1781.34,326.010448490923
"339",339,1782.92,325.820229295515
"340",340,1787.05,325.559483463049
"341",341,1790.96,325.08833049844
"342",342,1795.33,326.506610603333
"343",343,1797.53,326.376260989328
"344",344,1799.96,325.941741091654
"345",345,1803.16,324.60943805245
"346",346,1806.39,325.233681179759
"347",347,1809.93,325.419209201257
"348",348,1813.56,324.880687345525
"349",349,1817.23,323.751895747345
"350",350,1827.65,322.202219424417
"351",351,1836.13,325.17885226379
"352",352,1839.63,324.718919788618
"353",353,1842.08,325.373776671468
"354",354,1844.19,325.8372802985
"355",355,1846.84,325.166490999129
"356",356,1849.3,325.728042353982
"357",357,1852.4,325.089606916697
"358",358,1856.44,325.022992815256
"359",359,1858.29,325.357466038618
"360",360,1862.86,327.045977059971
"361",361,1865.56,326.462036093174
"362",362,1869.24,327.348858485126
"363",363,1870.85,326.912782209135
"364",364,1873.89,326.475636630257
"365",365,1877.64,326.911674353001
"366",366,1881.21,326.648122386439
"367",367,1883.49,327.231746718753
"368",368,1885.94,327.376495950779
"369",369,1889.51,326.807838852365
"370",370,1892.21,326.048527558755
"371",371,1896.03,325.243108918529
"372",372,1897.86,324.684960594672
"373",373,1900.99,325.064639881071
"374",374,1903.56,324.994244548883
"375",375,1907.9,325.369673206376
"376",376,1917.54,325.745436334769
"377",377,1920.84,325.99323659093
"378",378,1924.56,325.980860812658
"379",379,1927.99,325.571711444544
"380",380,1937.52,331.51651786323
"381",381,1939.86,331.269734155834
"382",382,1942.08,331.127357475469
"383",383,1944.99,331.457433469247
"384",384,1947.73,331.465062985223
"385",385,1952.01,331.669285660438
