SAMPLING_UNIT,region,Latitude,Longitude
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD13,central,10.29020,-131.53670
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD10,central,10.29460,-131.54960
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD09,central,10.29460,-131.56040
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD14,central,10.29910,-131.21820
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD08,central,10.29940,-131.53970
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
KOREA KR5_Stn. SD15,central,10.30000,-131.18920
