Phylum,Class,Order,Family,Genus,scientificName,taxonConceptID,size_cat
Annelida,Polychaeta,Spionida,Poecilochaetidae,,Poecilochaetidae,Poecilochaetus sp. (NHM_223),macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,Poecilochaetus,Poecilochaetus sp. 133,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,Poecilochaetus,Poecilochaetus sp. 18,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,Poecilochaetus,Poecilochaetus,Poecilochaetus sp.1,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 211,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 219,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 315,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 343,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 514,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 615,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 636-4-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 636-4-3,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 639-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 642,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 655-3-1,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 655-3-4,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 655-3-5,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 655-3-6,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 655-3-7,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 659-1-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 666-3-1,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 666-3-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 685,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 686,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,Polaruschakov,Polaruschakov,Polaruschakov sp. 690,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Chaetosphaerid (Morphotype),macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Morphotype A,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Morphotype B,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Morphotype C,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Morphotype D,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta MOTU 0,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 1,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta MOTU 2,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 3,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 4,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 5,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 6,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 7,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 8,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta Motu 9,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta mtps,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta sp. 1,megafauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta sp. 281,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta sp.1,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaeta sp.2,macrofauna
Annelida,Polychaeta,,,,Polychaeta,Polychaete msp-5,megafauna
Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,Polymastia,Polymastia sp A,macrofauna
Porifera,Demospongiae,Polymastiida,Polymastiidae,Polymastia,Polymastia,Polymastia sp. (NHM_112),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae 934,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae 936,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae 937,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae msp. 2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae ,Polynoidae mtp-ANN_003,megafauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp A,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp B,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp D,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_034),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_1166B),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_128),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_1350F),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_1351C),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_1355D),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_1797G),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2100),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2101),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2176),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2195),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2273),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2295),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2315),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_234),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2386) close to 2954,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2517),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2519) close to 589,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2677),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2726),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2819),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_2954),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_490),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_583),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_588),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_589),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_595),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_679),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_690),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_747A),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_747B),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_747D),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_749A),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_773B),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. (NHM_915C),macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 1,megafauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 153,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 197,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 299,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 303,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 306,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 314,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 353,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 450,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 465a,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 513,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 521-4,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 537-1-2,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 609,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 655-4,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 655-5,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,Polynoidae,Polynoidae sp. 657-1-3,macrofauna
