Site,Abundance,Species,rec,size_cat,REGION,SOURCE
YUZ2_Sta. 289,2,Pandanipora helix,1916,macrofauna,CENTRAL,LIT
NOAA BIE project site_Sta. DDT-05-93,1,Orbiniella abyssalis,42,macrofauna,CENTRAL,LIT
NOAA BIE project site_Sta. DDT-05-93,1,Aphelochaeta clippertonensis,54,macrofauna,CENTRAL,LIT
NOAA BIE project site_Sta. DDT-05-93,1,Chaetozone grasslei,94,macrofauna,CENTRAL,LIT
NOAA BIE project site_Sta. DDT-05-93,1,Chaetozone grasslei,95,macrofauna,CENTRAL,LIT
NOAA BIE project site_Sta. DDT-05-93,1,Kirkegaardia fragilis,105,macrofauna,CENTRAL,LIT
YUZ2_Sta. 288,1,Alyonushka echinata,1713,macrofauna,CENTRAL,LIT
YUZ2_Sta. 290,1,Calyssopora clarionensis,1757,macrofauna,CENTRAL,LIT
YUZ2_Sta. 294,1,Alyonushka filia,1726,macrofauna,CENTRAL,LIT
YUZ2_Sta. 166,3,Pandanipora helix,1871,macrofauna,CENTRAL,LIT
YUZ2_Sta. 178,1,Calyssopora volcano,1776,macrofauna,CENTRAL,LIT
YUZ2_Sta. 319,1,Alyonushka filia,1728,macrofauna,CENTRAL,LIT
YUZ2_Sta. 319,1,Pandanipora helix,1926,macrofauna,CENTRAL,LIT
YUZ2_Sta. 291,1,Calyssopora clarionensis,1758,macrofauna,CENTRAL,LIT
YUZ2_Sta. 291,1,Calyssopora volcano,1784,macrofauna,CENTRAL,LIT
YUZ2_Sta. 246,1,Calyssopora clarionensis,1755,macrofauna,CENTRAL,LIT
YUZ2_Sta. 246,1,Pandanipora helix,1901,macrofauna,CENTRAL,LIT
YUZ2_Sta. 8713,1,Catherinum tortilum,549,macrofauna,CENTRAL,LIT
YUZ2_Sta. 216,1,Calyssopora volcano,1779,macrofauna,CENTRAL,LIT
YUZ2_Sta. 8732,1,Amigdoscalpellum torbenwolffi,546,macrofauna,CENTRAL,LIT
YUZ2_Sta. 300,1,Calyssopora volcano,1785,macrofauna,CENTRAL,LIT
YUZ2_Sta. 295,1,Pandanipora helix,1919,macrofauna,CENTRAL,LIT
YUZ2_Sta. 295,1,Pandanipora helix,1920,macrofauna,CENTRAL,LIT
YUZ2_Sta. 295,1,Pandanipora helix,1921,macrofauna,CENTRAL,LIT
YUZ2_Sta. 117,1,Pandanipora helix,1851,macrofauna,CENTRAL,LIT
YUZ2_Sta. 292,1,Frontohornera frontalis,1803,macrofauna,CENTRAL,LIT
YUZ2_Sta. 292,1,Pandanipora helix,1917,macrofauna,CENTRAL,LIT
YUZ2_Sta. 180,1,Alyonushka filia,1719,macrofauna,CENTRAL,LIT
YUZ2_Sta. 180,1,Anyuta anastema,1739,macrofauna,CENTRAL,LIT
YUZ2_Sta. 245,1,Haywardozoon pacificum,1811,macrofauna,CENTRAL,LIT
YUZ2_Sta. 245,1,Pandanipora helix,1899,macrofauna,CENTRAL,LIT
YUZ2_Sta. 245,1,Pandanipora helix,1900,macrofauna,CENTRAL,LIT
YUZ2_Sta. 299,1,Alyonushka filia,1727,macrofauna,CENTRAL,LIT
YUZ2_Sta. 293,1,Pandanipora helix,1918,macrofauna,CENTRAL,LIT
YUZ2_Sta. 151,1,Discantenna metallica,1794,macrofauna,CENTRAL,LIT
YUZ2_Sta. 151,1,Orectopora flabellum,1817,macrofauna,CENTRAL,LIT
YUZ2_Sta. 217,2,Pandanipora helix,1887,macrofauna,CENTRAL,LIT
YUZ2_Sta. 298,1,Anyutidae sp. incertae sedis (?),1747,macrofauna,CENTRAL,LIT
YUZ2_Sta. 116,1,Pandanipora helix,1850,macrofauna,CENTRAL,LIT
YUZ2_Sta. 116,1,Rallocytus ridiculus,1966,macrofauna,CENTRAL,LIT
YUZ2_Sta. 199,1,Alyonushka hystricosa,1733,macrofauna,CENTRAL,LIT
YUZ2_Sta. 199,1,Pandanipora helix,1883,macrofauna,CENTRAL,LIT
YUZ2_Sta. 135,1,Abyssoecia elevata,1706,macrofauna,CENTRAL,LIT
YUZ2_Sta. 316,1,Orectopora flabellum,1824,macrofauna,CENTRAL,LIT
YUZ2_Sta. 218,3,Pandanipora helix,1888,macrofauna,CENTRAL,LIT
YUZ2_Sta. 134,1,Calyssopora clarionensis,1749,macrofauna,CENTRAL,LIT
YUZ2_Sta. 134,1,Haywardozoon pacificum,1807,macrofauna,CENTRAL,LIT
YUZ2_Sta. 134,3,Pandanipora helix,1854,macrofauna,CENTRAL,LIT
YUZ2_Sta. 119,1,Anyuta anastema,1736,macrofauna,CENTRAL,LIT
YUZ2_Sta. 120,2,Pandanipora helix,1852,macrofauna,CENTRAL,LIT
YUZ2_Sta. 133,1,Anyuta anastema,1737,macrofauna,CENTRAL,LIT
YUZ2_Sta. 8535,1,Storthyngura yuzhmorgeo,531,macrofauna,CENTRAL,LIT
YUZ2_Sta. 215,1,Frontohornera frontalis,1802,macrofauna,CENTRAL,LIT
YUZ2_Sta. 215,1,Pandanipora helix,1886,macrofauna,CENTRAL,LIT
YUZ2_Sta. 153,4,Pandanipora helix,1863,macrofauna,CENTRAL,LIT
YUZ2_Sta. 285,1,Pandanipora helix,1915,macrofauna,CENTRAL,LIT
YUZ2_Sta. 154,1,Pandanipora helix,1864,macrofauna,CENTRAL,LIT
YUZ2_Sta. 197,3,Pandanipora helix,1882,macrofauna,CENTRAL,LIT
YUZ2_Sta. 219,1,Orectopora flabellum,1820,macrofauna,CENTRAL,LIT
YUZ2_Sta. 219,1,Pandanipora helix,1889,macrofauna,CENTRAL,LIT
YUZ2_Sta. 302,1,Abyssoecia elevata,1710,macrofauna,CENTRAL,LIT
YUZ2_Sta. 310,1,Pandanipora helix,1925,macrofauna,CENTRAL,LIT
YUZ2_Sta. 122,1,Amigdoscalpellum torbenwolffi,545,macrofauna,CENTRAL,LIT
YUZ2_Sta. 67,1,Discantenna metallica,1791,macrofauna,CENTRAL,LIT
YUZ2_Sta. 65,1,Pandanipora helix,1839,macrofauna,CENTRAL,LIT
YUZ2_Sta. 68,1,Pandanipora helix,1840,macrofauna,CENTRAL,LIT
YUZ2_Sta. 68,1,Pandanipora helix,1841,macrofauna,CENTRAL,LIT
YUZ2_Sta. 69,1,Discantenna metallica,1792,macrofauna,CENTRAL,LIT
YUZ2_Sta. 70,1,Calyssopora volcano,1769,macrofauna,CENTRAL,LIT
YUZ2_Sta. 71,1,Anyuta anastema,1735,macrofauna,CENTRAL,LIT
YUZ2_Sta. 129,1,Abyssoecia elevata,1705,macrofauna,CENTRAL,LIT
YUZ2_Sta. 195,1,Alyonushka filia,1720,macrofauna,CENTRAL,LIT
YUZ2_Sta. 130,1,Rallocytus ridiculus,1967,macrofauna,CENTRAL,LIT
YUZ2_Sta. 313,1,Abyssoecia elevata,1711,macrofauna,CENTRAL,LIT
YUZ2_Sta. 99,1,Abyssoecia elevata,1703,macrofauna,CENTRAL,LIT
YUZ2_Sta. 99,1,Calyssopora volcano,1771,macrofauna,CENTRAL,LIT
YUZ2_Sta. 79,1,Rallocytus ridiculus,1964,macrofauna,CENTRAL,LIT
YUZ2_Sta. 124,1,Frontohornera frontalis,1800,macrofauna,CENTRAL,LIT
YUZ2_Sta. 54,1,Rectisura slavai,530,macrofauna,CENTRAL,LIT
YUZ2_Sta. 54,1,Storthyngura yuzhmorgeo,532,macrofauna,CENTRAL,LIT
YUZ2_Sta. 198,1,Calyssopora volcano,1778,macrofauna,CENTRAL,LIT
YUZ2_Sta. 198,1,Orectopora flabellum,1819,macrofauna,CENTRAL,LIT
YUZ2_Sta. 82,1,Discantenna metallica,1793,macrofauna,CENTRAL,LIT
YUZ2_Sta. 83,2,Rallocytus ridiculus,1965,macrofauna,CENTRAL,LIT
YUZ2_Sta. 92,1,Calyssopora volcano,1770,macrofauna,CENTRAL,LIT
YUZ2_Sta. 80,1,Rectisura slavai,528,macrofauna,CENTRAL,LIT
YUZ2_Sta. 101,1,Calyssopora volcano,1772,macrofauna,CENTRAL,LIT
YUZ2_Sta. 73,1,Pandanipora helix,1842,macrofauna,CENTRAL,LIT
YUZ2_Sta. 85,1,Pandanipora helix,1843,macrofauna,CENTRAL,LIT
YUZ2_Sta. 94,1,Pandanipora helix,1844,macrofauna,CENTRAL,LIT
YUZ2_Sta. 96,1,Pandanipora helix,1845,macrofauna,CENTRAL,LIT
YUZ2_Sta. 214,1,Haywardozoon pacificum,1809,macrofauna,CENTRAL,LIT
YUZ2_Sta. 214,2,Pandanipora helix,1885,macrofauna,CENTRAL,LIT
YUZ2_Sta. 271,1,Calyssopora volcano,1781,macrofauna,CENTRAL,LIT
YUZ2_Sta. 164,1,Alyonushka filia,1717,macrofauna,CENTRAL,LIT
YUZ2_Sta. 164,1,Pandanipora helix,1869,macrofauna,CENTRAL,LIT
YUZ2_Sta. 106,1,Abyssoecia elevata,1704,macrofauna,CENTRAL,LIT
YUZ2_Sta. 106,2,Pandanipora helix,1847,macrofauna,CENTRAL,LIT
YUZ2_Sta. 196,2,Abyssoecia elevata,1708,macrofauna,CENTRAL,LIT
YUZ2_Sta. 196,1,Rallocytus ridiculus,1972,macrofauna,CENTRAL,LIT
YUZ2_Sta. 41,1,Oceanithyris juveniformis,36,macrofauna,CENTRAL,LIT
YUZ2_Sta. 103,1,Calyssopora volcano,1773,macrofauna,CENTRAL,LIT
YUZ2_Sta. 194,2,Pandanipora helix,1881,macrofauna,CENTRAL,LIT
YUZ2_Sta. 305,1,Pandanipora helix,1922,macrofauna,CENTRAL,LIT
YUZ2_Sta. 110,1,Pandanipora helix,1848,macrofauna,CENTRAL,LIT
YUZ2_Sta. 123,1,Alyonushka filia,1715,macrofauna,CENTRAL,LIT
YUZ2_Sta. 105,1,Pandanipora helix,1846,macrofauna,CENTRAL,LIT
YUZ2_Sta. 212,3,Pandanipora helix,1884,macrofauna,CENTRAL,LIT
YUZ2_Sta. 114,1,Pandanipora helix,1849,macrofauna,CENTRAL,LIT
YUZ2_Sta. 126,1,Orectopora flabellum,1814,macrofauna,CENTRAL,LIT
YUZ2_Sta. 34,1,Rectisura slavai,529,macrofauna,CENTRAL,LIT
YUZ2_Sta. 161,1,Pandanipora helix,1868,macrofauna,CENTRAL,LIT
YUZ2_Sta. 193,1,Pandanipora helix,1880,macrofauna,CENTRAL,LIT
YUZ2_Sta. 283,1,Anyuta anastema,1742,macrofauna,CENTRAL,LIT
YUZ2_Sta. 283,1,Calyssopora volcano,1783,macrofauna,CENTRAL,LIT
YUZ2_Sta. 283,1,Rallocytus ridiculus,1976,macrofauna,CENTRAL,LIT
YUZ2_Sta. 210,1,Frontohornera frontalis,1801,macrofauna,CENTRAL,LIT
YUZ2_Sta. 276,1,Pandanipora helix,1913,macrofauna,CENTRAL,LIT
YUZ2_Sta. 308,1,Pandanipora helix,1923,macrofauna,CENTRAL,LIT
YUZ2_Sta. 308,2,Pandanipora helix,1924,macrofauna,CENTRAL,LIT
YUZ2_Sta. 159,1,Rallocytus ridiculus,1969,macrofauna,CENTRAL,LIT
YUZ2_Sta. 160,1,Pandanipora helix,1867,macrofauna,CENTRAL,LIT
YUZ2_Sta. 209,1,Calyssopora clarionensis,1753,macrofauna,CENTRAL,LIT
YUZ2_Sta. 190,1,Pandanipora helix,1879,macrofauna,CENTRAL,LIT
YUZ2_Sta. 281,1,Anyuta anastema,1741,macrofauna,CENTRAL,LIT
YUZ2_Sta. 191,1,Abyssoecia elevata,1707,macrofauna,CENTRAL,LIT
YUZ2_Sta. 282,1,Abyssoecia elevata,1709,macrofauna,CENTRAL,LIT
YUZ2_Sta. 282,1,Pandanipora helix,1914,macrofauna,CENTRAL,LIT
YUZ2_Sta. 236,1,Alyonushka filia,1725,macrofauna,CENTRAL,LIT
YUZ2_Sta. 236,2,Pandanipora helix,1897,macrofauna,CENTRAL,LIT
YUZ2_Sta. 157,1,Pandanipora helix,1866,macrofauna,CENTRAL,LIT
YUZ2_Sta. 238,1,Pandanipora helix,1898,macrofauna,CENTRAL,LIT
YUZ2_Sta. 7,1,Calyssopora volcano,1764,macrofauna,CENTRAL,LIT
YUZ2_Sta. 7,1,Tubuliporina sp. incertae sedis,1983,macrofauna,CENTRAL,LIT
YUZ2_Sta. 21,1,Pelagodiscus atlanticus,33,macrofauna,CENTRAL,LIT
YUZ2_Sta. 41,1,Neorhynchia strebeli,34,macrofauna,CENTRAL,LIT
YUZ2_Sta. 41,3,Oceanithyris juveniformis,35,macrofauna,CENTRAL,LIT
YUZ2_Sta. 203,1,Calyssopora vasiformis,1762,macrofauna,CENTRAL,LIT
YUZ2_Sta. 186,1,Calyssopora clarionensis,1752,macrofauna,CENTRAL,LIT
YUZ2_Sta. 125,1,Pandanipora helix,1853,macrofauna,CENTRAL,LIT
YUZ2_Sta. 272,2,Pandanipora helix,1911,macrofauna,CENTRAL,LIT
YUZ2_Sta. 6,1,Rallocytus ridiculus,1961,macrofauna,CENTRAL,LIT
YUZ2_Sta. 206,1,Alyonushka echinata,1712,macrofauna,CENTRAL,LIT
YUZ2_Sta. 206,1,Rallocytus ridiculus,1973,macrofauna,CENTRAL,LIT
YUZ2_Sta. 181,1,Pandanipora helix,1877,macrofauna,CENTRAL,LIT
YUZ2_Sta. 274,1,Calyssopora volcano,1782,macrofauna,CENTRAL,LIT
YUZ2_Sta. 44,1,Abyssoecia elevata,1702,macrofauna,CENTRAL,LIT
YUZ2_Sta. 156,1,Alyonushka filia,1716,macrofauna,CENTRAL,LIT
YUZ2_Sta. 15,1,Calyssopora volcano,1765,macrofauna,CENTRAL,LIT
YUZ2_Sta. 323,1,Rallocytus ridiculus,1977,macrofauna,CENTRAL,LIT
YUZ2_Sta. 207,1,Discantenna metallica,1795,macrofauna,CENTRAL,LIT
YUZ2_Sta. 48,1,Alyonushka filia,1714,macrofauna,CENTRAL,LIT
YUZ2_Sta. 27,1,Oceanithyris juveniformis,24,macrofauna,CENTRAL,LIT
YUZ2_Sta. 27,1,Simpliciforma profunda,25,macrofauna,CENTRAL,LIT
YUZ2_Sta. 275,3,Pandanipora helix,1912,macrofauna,CENTRAL,LIT
YUZ2_Sta. 183,1,Orectopora flabellum,1818,macrofauna,CENTRAL,LIT
YUZ2_Sta. 183,1,Rallocytus ridiculus,1971,macrofauna,CENTRAL,LIT
YUZ2_Sta. 201,1,Calyssopora vasiformis,1761,macrofauna,CENTRAL,LIT
YUZ2_Sta. 155,2,Pandanipora helix,1865,macrofauna,CENTRAL,LIT
YUZ2_Sta. 155,1,Rallocytus ridiculus,1968,macrofauna,CENTRAL,LIT
YUZ2_Sta. 185,1,Calyssopora volcano,1777,macrofauna,CENTRAL,LIT
YUZ2_Sta. 185,2,Pandanipora helix,1878,macrofauna,CENTRAL,LIT
YUZ2_Sta. 322,1,Haywardozoon pacificum,1813,macrofauna,CENTRAL,LIT
YUZ2_Sta. 273,1,Orectopora flabellum,1823,macrofauna,CENTRAL,LIT
YUZ2_Sta. 325,1,Calyssopora volcano,1786,macrofauna,CENTRAL,LIT
YUZ2_Sta. 324,2,Pandanipora helix,1928,macrofauna,CENTRAL,LIT
YUZ2_Sta. 61,1,Pandanipora helix,1838,macrofauna,CENTRAL,LIT
YUZ2_Sta. 39,1,Haywardozoon pacificum,1806,macrofauna,CENTRAL,LIT
YUZ2_Sta. 55,3,Pandanipora helix,1836,macrofauna,CENTRAL,LIT
YUZ2_Sta. 55,2,Pandanipora helix,1837,macrofauna,CENTRAL,LIT
YUZ2_Sta. 57,1,Calyssopora volcano,1768,macrofauna,CENTRAL,LIT
YUZ2_Sta. 326,2,Pandanipora helix,1929,macrofauna,CENTRAL,LIT
YUZ2_Sta. 326,1,Pandanipora helix,1930,macrofauna,CENTRAL,LIT
YUZ2_Sta. 52,1,Pandanipora helix,1833,macrofauna,CENTRAL,LIT
YUZ2_Sta. 348,1,Calyssopora volcano,1787,macrofauna,CENTRAL,LIT
YUZ2_Sta. 54,2,Pandanipora helix,1835,macrofauna,CENTRAL,LIT
YUZ2_Sta. 53,2,Pandanipora helix,1834,macrofauna,CENTRAL,LIT
YUZ2_Sta. 350,1,Pandanipora helix,1946,macrofauna,CENTRAL,LIT
YUZ2_Sta. 349,4,Pandanipora helix,1945,macrofauna,CENTRAL,LIT
YUZ2_Sta. 351,1,Alyonushka filia,1729,macrofauna,CENTRAL,LIT
YUZ2_Sta. 185-199,1,Abyssothyris wyvillei,29,macrofauna,CENTRAL,LIT
YUZ2_Sta. 185-199,3,Oceanithyris juveniformis,30,macrofauna,CENTRAL,LIT
YUZ2_Sta. 185-199,1,Simpliciforma profunda,31,macrofauna,CENTRAL,LIT
YUZ2_Sta. 185-199,2,Simpliciforma profunda,32,macrofauna,CENTRAL,LIT
YUZ2_Sta. 32,1,Pandanipora helix,1832,macrofauna,CENTRAL,LIT
YUZ2_Sta. 33,1,Calyssopora volcano,1767,macrofauna,CENTRAL,LIT
YUZ2_Sta. 37,1,Discantenna metallica,1790,macrofauna,CENTRAL,LIT
YUZ2_Sta. 34,1,Rallocytus ridiculus,1963,macrofauna,CENTRAL,LIT
YUZ2_Sta. 24,1,Calyssopora clarionensis,1748,macrofauna,CENTRAL,LIT
YUZ2_Sta. 24,1,Calyssopora volcano,1766,macrofauna,CENTRAL,LIT
YUZ2_Sta. 336,1,Pandanipora helix,1939,macrofauna,CENTRAL,LIT
YUZ2_Sta. 217,1,Simpliciforma profunda,28,macrofauna,CENTRAL,LIT
YUZ2_Sta. 23,2,Pandanipora helix,1830,macrofauna,CENTRAL,LIT
YUZ2_Sta. 17,1,Pandanipora helix,1828,macrofauna,CENTRAL,LIT
YUZ2_Sta. 17,2,Pandanipora helix,1829,macrofauna,CENTRAL,LIT
YUZ2_Sta. 352,2,Pandanipora helix,1947,macrofauna,CENTRAL,LIT
YUZ2_Sta. 27,1,Pandanipora helix,1831,macrofauna,CENTRAL,LIT
YUZ2_Sta. 215,1,Arcoscalpellum radiatum,547,macrofauna,CENTRAL,LIT
YUZ2_Sta. 29,1,Anyuta anastema,1734,macrofauna,CENTRAL,LIT
YUZ2_Sta. 335,2,Pandanipora helix,1938,macrofauna,CENTRAL,LIT
YUZ2_Sta. 31,1,Rallocytus ridiculus,1962,macrofauna,CENTRAL,LIT
YUZ2_Sta. 354,1,Pandanipora helix,1948,macrofauna,CENTRAL,LIT
YUZ2_Sta. 357,1,Alyonushka filia,1730,macrofauna,CENTRAL,LIT
YUZ2_Sta. 357,2,Calyssopora volcano,1788,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Acrocirrid sp. PIP#9,1216,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Acrocirrid sp. PIP#9,1217,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Aphelochaeta sp. B,1224,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),2,Aphelochaeta sp. F,1230,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),2,Aricidea sp. B,1233,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),6,Aricidea sp. C,1234,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Aricidea sp. D,1235,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Aricidea sp. E,1236,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Auospio sp. nov. PIP#21,1239,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),26,Aurospio cf. dibranchiata,1240,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Bathyglycinde c.f profunda,1243,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Chaetozone sp. A,1249,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),2,Dysponetus sp. A,1259,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Euphrosinid sp. A,1261,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),13,Eusyllinae sp. A,1262,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),4,Glycera sp. PIP#17,1267,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Glycerid sp. PIP#19,1269,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Hesionid sp. PIP#14,1274,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Hesionid sp. PIP#15,1275,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),3,Monticellina sp. A,1280,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),1,Pilargis sp. PIP#12,1286,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),9,Prionospio sp. PIP# 2,1288,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),2,Prionospio sp. PIP# 3,1291,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),6,Prionospio sp. PIP# 5,1293,macrofauna,CENTRAL,LIT
IFR2_Kaplan Central (Site C),2,Spiophanes sp. PIP# 4,1303,macrofauna,CENTRAL,LIT
YUZ2_Sta. 356,1,Pandanipora helix,1949,macrofauna,CENTRAL,LIT
YUZ2_Sta. 359,1,Anyuta anastema,1744,macrofauna,CENTRAL,LIT
YUZ2_Sta. 359,1,Pandanipora helix,1951,macrofauna,CENTRAL,LIT
YUZ2_Sta. 359,1,Rallocytus ridiculus,1981,macrofauna,CENTRAL,LIT
YUZ2_Sta. 359,1,Saccocamera ampulla,1982,macrofauna,CENTRAL,LIT
YUZ2_Sta. 330,6,Pandanipora helix,1933,macrofauna,CENTRAL,LIT
YUZ2_Sta. 334,1,Frontohornera frontalis,1805,macrofauna,CENTRAL,LIT
YUZ2_Sta. 334,1,Pandanipora helix,1936,macrofauna,CENTRAL,LIT
YUZ2_Sta. 334,1,Pandanipora helix,1937,macrofauna,CENTRAL,LIT
YUZ2_Sta. 358,1,Calyssopora volcano,1789,macrofauna,CENTRAL,LIT
YUZ2_Sta. 358,1,Discantenna metallica,1798,macrofauna,CENTRAL,LIT
YUZ2_Sta. 358,3,Pandanipora helix,1950,macrofauna,CENTRAL,LIT
YUZ2_Sta. 332,1,Orectopora flabellum,1825,macrofauna,CENTRAL,LIT
YUZ2_Sta. 332,1,Pandanipora helix,1935,macrofauna,CENTRAL,LIT
YUZ2_Sta. 346,3,Pandanipora helix,1944,macrofauna,CENTRAL,LIT
YUZ2_Sta. 327,1,Calyssopora clarionensis,1759,macrofauna,CENTRAL,LIT
YUZ2_Sta. 331,1,Pandanipora helix,1934,macrofauna,CENTRAL,LIT
YUZ2_Sta. 328,1,Pandanipora helix,1931,macrofauna,CENTRAL,LIT
YUZ2_Sta. 328,2,Rallocytus ridiculus,1978,macrofauna,CENTRAL,LIT
YUZ2_Sta. 361,1,Pandanipora helix,1952,macrofauna,CENTRAL,LIT
YUZ2_Sta. 329,1,Frontohornera frontalis,1804,macrofauna,CENTRAL,LIT
YUZ2_Sta. 329,1,Pandanipora helix,1932,macrofauna,CENTRAL,LIT
YUZ2_Sta. 360,1,Anyuta anastema,1745,macrofauna,CENTRAL,LIT
YUZ2_Sta. 338,1,Anyuta anastema,1743,macrofauna,CENTRAL,LIT
YUZ2_Sta. 338,1,Pandanipora helix,1940,macrofauna,CENTRAL,LIT
YUZ2_Sta. 338,1,Rallocytus ridiculus,1979,macrofauna,CENTRAL,LIT
YUZ2_Sta. 339,1,Calyssopora clarionensis,1760,macrofauna,CENTRAL,LIT
YUZ2_Sta. 362,1,Discantenna metallica,1799,macrofauna,CENTRAL,LIT
YUZ2_Sta. 340,2,Pandanipora helix,1941,macrofauna,CENTRAL,LIT
YUZ2_Sta. 340,1,Rallocytus ridiculus,1980,macrofauna,CENTRAL,LIT
YUZ2_Sta. 363,1,Alyonushka filia,1731,macrofauna,CENTRAL,LIT
YUZ2_Sta. 363,1,Orectopora flabellum,1826,macrofauna,CENTRAL,LIT
YUZ2_Sta. 363,1,Pandanipora helix,1953,macrofauna,CENTRAL,LIT
YUZ2_Sta. 217,1,Oceanithyris juveniformis,26,macrofauna,CENTRAL,LIT
YUZ2_Sta. 217,1,Oceanithyris juveniformis,27,macrofauna,CENTRAL,LIT
YUZ2_Sta. 343,1,Pandanipora helix,1943,macrofauna,CENTRAL,LIT
YUZ2_Sta. 342,3,Pandanipora helix,1942,macrofauna,CENTRAL,LIT
YUZ2_Sta. 365,1,Alyonushka filia,1732,macrofauna,CENTRAL,LIT
YUZ2_Sta. 365,1,Orectopora flabellum,1827,macrofauna,CENTRAL,LIT
YUZ2_Sta. 365,3,Pandanipora helix,1956,macrofauna,CENTRAL,LIT
YUZ2_Sta. 364,1,Pandanipora helix,1954,macrofauna,CENTRAL,LIT
YUZ2_Sta. 364,1,Pandanipora helix,1955,macrofauna,CENTRAL,LIT
"DOMES SITE C, ECHO 1_site 14.6666666666667_-125.416666666667_4300",6,Hyocrinus foelli,598,macrofauna,EAST,LIT
"DOMES SITE C, ECHO 1_site 14.6666666666667_-125.416666666667_4300",1,Hyocrinus foelli,599,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),3,Acrocirrid sp. PIP#6,1213,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),3,Acrocirrid sp. PIP#7,1214,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Acrocirrid sp. PIP#8,1215,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),3,Amphinomid sp.,1220,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),11,Amphinomid sp. A,1221,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Ancistrosyllis groenlandica,1222,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),2,Aphelochaeta sp. A,1223,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),2,Aphelochaeta sp. B,1225,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),3,Aphelochaeta sp. C,1226,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Aphelochaeta sp. D,1228,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Aphelochaeta sp. E,1229,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Aricidea sp. A,1232,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),5,Aurospio cf. dibranchiata,1241,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),5,Ceratocephale sp. A,1246,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Chaetopterid sp. A,1248,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),3,Chaetozone sp. A,1250,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Chrysopetalum sp. A,1253,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Diplocirrus sp. PIP#10,1258,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),6,Dysponetus sp. A,1260,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Eusyllinae sp. A,1263,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),3,Eusyllinae sp. B,1265,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Glycera sp. PIP#17,1268,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),2,Goniada sp. PIP#16,1270,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Goniadid sp. PIP#20,1271,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Hesionid sp. PIP#13,1273,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),26,Lumbrinerides cf. laubieri,1277,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),10,Lumbrineris sp. A,1278,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),4,Monticellina sp. A,1281,macrofauna,EAST,LIT
IOM_Kaplan East (Site E),1,Paraonis sp. A,1283,macrofauna,EAST,LIT
