Site,Abundance,Species,rec,size_cat,REGION,SOURCE
site -130.1364_14.02974_4987,NA,Gwynia capsula,34678,macrofauna,CENTRAL,GBIF
site -128.591_12.9171_4879,1,Leptognathiella clivicola,44170,macrofauna,CENTRAL,GBIF
site -128.599_12.9341_4879,2,Macrinella clavipes,2887,macrofauna,CENTRAL,GBIF
site -136.233_16.6333_5647,1,Metcalfina hexagona,26267,macrofauna,CENTRAL,GBIF
site -129.917_13.23_4877,1,Munidopsis verrucosus,4302,macrofauna,CENTRAL,GBIF
site -129.917_13.23_4816,1,Munidopsis verrucosus,6563,macrofauna,CENTRAL,GBIF
site -129.883_13.2167_4846,1,Munidopsis verrucosus,25518,macrofauna,CENTRAL,GBIF
site -129.883_13.2167_4801,1,Munidopsis verrucosus,26479,macrofauna,CENTRAL,GBIF
site -129.883_13.2167_4877,1,Munidopsis verrucosus,26522,macrofauna,CENTRAL,GBIF
site -129.87_13.1875_4878,1,Munidopsis verrucosus,42241,macrofauna,CENTRAL,GBIF
site -129.85_13.2286_4878,2,Munidopsis verrucosus,28098,macrofauna,CENTRAL,GBIF
site -137.783_9.95_4919,1,Nerocila excisa,41485,macrofauna,CENTRAL,GBIF
site -128.599_12.9341_4879,3,Paranarthrura tridens,65393,macrofauna,CENTRAL,GBIF
site -130.1205_14.0308_4984,NA,Pelagodiscus atlanticus,34676,macrofauna,CENTRAL,GBIF
site -130.1205_14.0308_4984,NA,Pelagodiscus atlanticus,34707,macrofauna,CENTRAL,GBIF
site -137.783_9.95_4919,1,Planes minutus,964,macrofauna,CENTRAL,GBIF
site -137.783_9.95_4919,30,Pontella danae,39314,macrofauna,CENTRAL,GBIF
site -140_9_4900,1,Prionospio kaplani,29026,macrofauna,CENTRAL,GBIF
site -130.0832_14.04444_5045,NA,Robustochelia pacifica,34684,macrofauna,CENTRAL,GBIF
site -130.0832_14.04444_5045,NA,Robustochelia pacifica,34698,macrofauna,CENTRAL,GBIF
site -130.0892_14.04776_5044,NA,Tumidochelia tuberculata,34677,macrofauna,CENTRAL,GBIF
site -130.0892_14.04776_5044,NA,Tumidochelia tuberculata,34700,macrofauna,CENTRAL,GBIF
KOREA1 KR5 (B2+B1) MNBC1909,1,(Aphelochaeta wilsoni) sp. 9,17675,macrofauna,central,DD
KOREA1 KR5 (B2+B1) MNBC1901,1,(Aphelochaeta wilsoni) sp. 9,17505,macrofauna,central,DD
KOREA1 KR5 (B2+B1) MNBC1920,1,(Chaetozone trubloodi) sp. 6,17727,macrofauna,central,DD
KOREA1 KR5 (B2+B1) MNBC1907,1,(Chaetozone trubloodi) sp. 6,17598,macrofauna,central,DD
