rec_long,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,descr_id_with,short_spp_cl,SPP_CHECKLIST,INCL,incl_note,ERIK_LIST,Phylum,Class,Order,Family,Genus,Subgenus,Species,Subspecies,scientificName,taxonRank,otherRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,SOURCE_ED,inferred,notes,size_cat,size_cat_notes,name_verbatim,habitat_info,source_habitat_info,pelagic,habitat_interim,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,AphiaID_accepted,ScientificName_accepted,Authority_accepted,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,GBIF,OBIS,LIT,DD,sept_check,source_OBIS_DD,sole_source,sole_check,type_loc_info_OBIS,note,cl,cl2,cl3
16,,,,,,,,,,,morphology only (specimens),,,,,yes,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Abyssoprimnoa,,,,Abyssoprimnoa,genus,,,Cairns_2015,2015,new genus,new genus,y,,literature,,,megafauna,macro/mega,,,,,nodule,No match found,exact,accepted,872589,Abyssoprimnoa,"Cairns, 2015",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
17,,,,,,yes,genbank,,,cf.,morphology and molecular data,yes,yes,,,yes,Cnidaria,Anthozoa,Alcyonacea,Primnoidae,Abyssoprimnoa,,gemina,,Abyssoprimnoa gemina,species,,,Cairns_2015,2015,new species,new species,y,,literature; GBIF; DD; OBIS only,,,megafauna,macro/mega,,benthic,WoRMS,,nodule,No match found,exact,accepted,872590,Abyssoprimnoa gemina,"Cairns, 2015",Animalia,literature,GBIF,DD,OBIS only,GBIF,OBIS,LIT,DD,y,OBIS DD,,,,,,,
18,,,,,,,,,,,,,,,,yes,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,,,Abyssorchomene,genus,,,,,,,,,literature; DD,,,macrofauna,,,,,,sediment,matchtype: exact,exact,accepted,101585,Abyssorchomene,"De Broyer, 1984",Animalia,literature,,DD,,,,LIT,DD,y,OBIS DD,,,,,,,
19,,,ok,,,yes,genbank,,,cf.,morphology and molecular data,yes,yes,,no habitat info,yes,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,chevreuxi,,Abyssorchomene chevreuxi,species,,,,,,,,,literature,,,macrofauna,,,,,,sediment,matchtype: exact,exact,accepted,102493,Abyssorchomene chevreuxi,"(Stebbing, 1906)",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
20,,,ok,,,yes,genbank,,,,morphology and molecular data,yes,yes,,,yes,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,distinctus,,Abyssorchomene distinctus,species,,,,,,,,,literature; DD,,,macrofauna,,,benthic,WoRMS,,sediment,matchtype: exact,exact,accepted,557477,Abyssorchomene distinctus,"(Birstein & Vinogradov, 1960)",Animalia,literature,,DD,,,,LIT,DD,y,OBIS DD,,,,,,,
21,,,ok,,,yes,genbank,,,,morphology and molecular data,yes,yes,,,yes,Arthropoda,Malacostraca,Amphipoda,Uristidae,Abyssorchomene,,gerulicorbis,,Abyssorchomene gerulicorbis,species,,,,,,,,,literature; DD,,,macrofauna,,,benthic,WoRMS,,sediment,matchtype: exact,exact,accepted,867593,Abyssorchomene gerulicorbis,"(Shulenberger & Barnard, 1976)",Animalia,literature,,DD,,,,LIT,DD,y,OBIS DD,,,,,,,
2363,,,,,,,,,,,,,,,,,Brachiopoda,Rhynchonellata,Terebratulida,Dyscoliidae,Abyssothyris,,,,Abyssothyris,genus,,,,,,,,,literature,y,,macrofauna,,,,,,nodule,,exact,accepted,235231,Abyssothyris,"Thomson, 1927",Animalia,literature,,,,,,,,,,yes,,,,,,
2056,,,,,,,,,,,morphology only (specimens),yes,yes,,,,Brachiopoda,Rhynchonellata,Terebratulida,Dyscoliidae,Abyssothyris,,wyvillei,,Abyssothyris wyvillei,species,,,,,,,,,literature,,,macrofauna,,,benthic,WoRMS,,nodule,matchtype: exact,exact,accepted,235514,Abyssothyris wyvillei,"(Davidson, 1878)",Animalia,literature,,,,,,LIT,,y,,yes,,,,rams,,
22,,,,,,,,,,,morphology and molecular data,,,,,yes,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Acanthascus,,,,Acanthascus,genus,,,,,,,,,literature; GBIF; OBIS only,,,megafauna,,,,,,nodule,matchtype: exact,exact,accepted,171966,Acanthascus,"Schulze, 1886",Animalia,literature,GBIF,,OBIS only,GBIF,OBIS,LIT,,y,,,,,,,,
23,,,,,,,,,,,,,,,,yes,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,,,,Acanthephyra,genus,,,,,,,,,literature,,,megafauna,,,,,,water column,matchtype: exact,exact,accepted,107018,Acanthephyra,"A. Milne-Edwards, 1881",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
2859,,,,,,,,,,,morphology only (specimens and imagery),yes,yes,,no habitat info,yes,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,,cucullata,,Acanthephyra cucullata,species,,,,,,,,,literature,,,megafauna,,,,,,sediment,,,,514263,Acanthephyra cucullata,"Faxon, 1893",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
2860,,,,,,,,,,,morphology only (specimens and imagery),yes,yes,,no habitat info,yes,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,,curtirostris,,Acanthephyra curtirostris,species,,,,,,,,,literature,,,megafauna,,,,,,sediment,,,,107579,Acanthephyra curtirostris,"Wood-Mason in Wood-Mason & Alcock, 1891",Animalia,literature,,,,,,LIT,,y,,yes,,,,,,
2364,,,,,,,,,,,,,,,,yes,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,,,,,Acanthephyridae,family,,,,,,,,,literature,y,,megafauna,,,,,,water column,,exact,accepted,585943,Acanthephyridae,"Spence Bate, 1888",Animalia,literature,,,,,,,,,,yes,,,,,,
24,,,,,,,,,,,,,,,,yes,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Acanthocope,,,,Acanthocope,genus,,,,,,,,,literature,,,macrofauna,,,,,,sediment,matchtype: exact,exact,accepted,118333,Acanthocope,"Beddard, 1885",Animalia,literature,,,,,,,,,,yes,,,,,,
25,,confirmed widespread.,ok,,,yes,,,cf.,cf.,morphology and molecular data,no,yes,,,yes,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Acanthocope,,galatheae,,Acanthocope galatheae,species,,,,,,,,,literature; DD; OBIS only,,,macrofauna,,,benthic,WoRMS,,sediment,matchtype: exact,exact,accepted,255715,Acanthocope galatheae,"Wolff, 1962",Animalia,literature,,DD,OBIS only,,OBIS,LIT,DD,y,,,,,,rams,,
26,,,,,,,,,,,molecular data,,,,,,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,,,Acantholaimus,genus,,,,,,,,,literature; GBIF; DD; OBIS only,,,meiofauna,,,,,,sediment,matchtype: exact,exact,accepted,2303,Acantholaimus,"Allgén, 1933",Animalia,literature,GBIF,DD,OBIS only,GBIF,OBIS,LIT,DD,y,OBIS DD,,,,,,,
27,,,,,,,,,,,morphology only (specimens),yes,yes,,,,Nematoda,Chromadorea,Chromadorida,Chromadoridae,Acantholaimus,,angustus,,Acantholaimus angustus,species,,,,,,,,,literature; DD; OBIS only,,,meiofauna,,,benthic,WoRMS,,sediment,matchtype: exact,exact,accepted,583365,Acantholaimus angustus,"Bussau, 1993",Animalia,literature,,DD,OBIS only,,OBIS,LIT,DD,y,OBIS DD,,,,,,,
