rec_long,descr_id_with,SPP_CHECKLIST,FULL_SPP_CHECKLIST,INCL,incl_note,size_cat,Phylum,Class,Order,Family,Genus,Subgenus,specificEpiphet,Subspecies,scientificName,ScientificName_accepted,taxonRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,notes,SOURCE_ED,inferred,size_cat_notes,habitat_info,source_habitat_info,hab_confirmed,hab/group,pelagic,habitat_interim,QA/QC,type_loc_elsewhere,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,Authority_accepted,AphiaID_accepted,isMarine,isBrackish,isFresh,isTerrestrial,extra_AphiaID,extra_authority,Citation,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,source_OBIS_DD,sole_source,type_loc_info_OBIS,cl,cl2,cl3
207,,,,,,megafauna,Arthropoda,Malacostraca,Decapoda,Aristeidae,,,,,Aristeidae,Aristeidae,family,,,,,,,,,literature; DD,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Wood-Mason <i>in</i> Wood-Mason & Alcock, 1891",106725,1,,,,,,"WoRMS (2023). Aristeidae Wood-Mason in Wood-Mason & Alcock, 1891. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106725 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
208,,,,,,macrofauna,Arthropoda,Malacostraca,Tanaidacea,Paranarthrurellidae,Armatognathia,,,,Armatognathia,Armatognathia,genus,,,,,,,,,GBIF,,,,,,,,sediment,,,,,,,,,,,,,No match found,exact,accepted,"Kudinova-Pasternak, 1987",246897,1,,,,,,"WoRMS (2023). Armatognathia Kudinova-Pasternak, 1987. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=246897 on 2023-01-30",Animalia,,GBIF,,,,yes,,,,
209,morphology and molecular data,,,,,macrofauna,Arthropoda,,,,,,,,Arthropoda,Arthropoda,phylum,,,,,,,,how to do size class?,literature; DD,,mega/macro/meio,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"von Siebold, 1848",1065,1,1,1,1,,,WoRMS (2023). Arthropoda. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1065 on 2023-01-30,Animalia,literature,,DD,,OBIS DD,,,,,
210,,,,,,macrofauna,Arthropoda,Malacostraca,Tanaidacea,Tanaellidae,Arthrura,,,,Arthrura,Arthrura,genus,,,,,,,,,literature,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Kudinova-Pasternak, 1966",246899,1,,,,,,"WoRMS (2023). Arthrura Kudinova-Pasternak, 1966. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=246899 on 2023-01-30",Animalia,literature,,,,,yes,,,,
212,,,,,,macrofauna,Chordata,Ascidiacea,,,,,,,Ascidiacea,Ascidiacea,class,,,,,,,,,literature; DD,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Blainville, 1824",1839,1,,1,,,,"Shenkar, N.; Gittenberger, A.; Lambert, G.; Rius, M.; Moreira da Rocha, R.; Swalla, B.J.; Turon, X. (2023). Ascidiacea World Database. Ascidiacea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1839 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
213,,,,,,meiofauna,Nematoda,Chromadorea,Araeolaimida,Axonolaimidae,Ascolaimus,,,,Ascolaimus,Ascolaimus,genus,,,,,,,,,literature; DD,,,,,,,,sediment,,,,,,,,,,,,,No match found,exact,accepted,"Ditlevsen, 1919",2415,1,,,,,,"Nemys eds. (2023). Nemys: World Database of Nematodes. Ascolaimus Ditlevsen, 1919. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2415 on 2023-01-30",Animalia,literature,,DD,,,,,,,
214,not given,yes,yes,,,macrofauna,Mollusca,Bivalvia,Arcida,Arcidae,Asperarca,,nodulosa,,Asperarca nodulosa,Asperarca nodulosa,species,,,,,,,,,DD,,,benthic,WoRMS,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"(O. F. Müller, 1776)",138791,1,,,,,,"MolluscaBase eds. (2023). MolluscaBase. Asperarca nodulosa (O. F. Müller, 1776). Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=138791 on 2023-01-30",Animalia,,,DD,,,yes,,,,
215,morphology and molecular data,,,,,macrofauna,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Aspidarachna,,,,Aspidarachna,Aspidarachna,genus,,,,,,,,,literature,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"G. O. Sars, 1897",148670,1,0,0,0,,,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Aspidarachna G. O. Sars, 1897. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=148670 on 2023-01-30",Animalia,literature,,,,,yes,,,,
216,,,,,,megafauna,Echinodermata,Echinoidea,Aspidodiadematoida,Aspidodiadematidae,,,,,Aspidodiadematidae,Aspidodiadematidae,family,,,,,,,,,literature; GBIF; DD; OBIS only,,,,,,,,sediment,,,,,,,,,,,,cf.,matchtype: exact,exact,accepted,"Duncan, 1889",123162,1,0,0,0,,,"Kroh, A.; Mooi, R. (2023). World Echinoidea Database. Aspidodiadematidae Duncan, 1889. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123162 on 2023-01-30",Animalia,literature,GBIF,DD,OBIS only,OBIS DD,,,,,
217,,,,,,meiofauna,Arthropoda,Copepoda,Harpacticoida,Tisbidae,Aspinothorax,,,,Aspinothorax,Aspinothorax,genus,,,,,,,,,literature; DD; OBIS DD,,,,,,,,sediment,,,,,,,,,,,,,No match found,exact,accepted,"Moura & Martínez Arbizu, 2004",346800,1,0,0,0,,,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Aspinothorax Moura & Martínez Arbizu, 2004. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=346800 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
218,,,,,,megafauna,Chordata,Teleostei,Alepocephaliformes,Alepocephalidae,Asquamiceps,,,,Asquamiceps,Asquamiceps,genus,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Zugmayer, 1911",125869,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Asquamiceps Zugmayer, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125869 on 2023-01-30",Animalia,literature,,,,,yes,,,,
219,morphology and molecular data,,,,,macrofauna,Arthropoda,Copepoda,Siphonostomatoida,Asterocheridae,,,,,Asterocheridae,Asterocheridae,family,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Giesbrecht, 1899",135511,1,,1,,,,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Asterocheridae Giesbrecht, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135511 on 2023-01-30",Animalia,literature,,,,,yes,,,,
220,morphology and molecular data,,,,,megafauna,Echinodermata,Asteroidea,,,,,,,Asteroidea,Asteroidea,class,,,,,,,,,literature; GBIF; DD,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"de Blainville, 1830",123080,1,0,0,0,,,WoRMS (2023). Asteroidea. Accessed at: https://marinespecies.org/aphia.php?p=taxdetails&id=123080 on 2023-01-30,Animalia,literature,GBIF,DD,,OBIS DD,,,,,
221,morphology and molecular data,,,,,megafauna,Echinodermata,Ophiuroidea,Euryalida,Euryalidae,Asteroschema,,,,Asteroschema,Asteroschema,genus,,,,,,,,,literature,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Örsted & Lütken in Lütken, 1856",123581,1,0,0,0,,,"Stöhr, S.; O’Hara, T.; Thuy, B. (Eds) (2023). World Ophiuroidea Database. Asteroschema Örsted & Lütken in Lütken, 1856. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123581 on 2023-01-30",Animalia,literature,,,,,yes,,,,
222,,,,,,megafauna,Echinodermata,Asteroidea,Paxillosida,Astropectinidae,,,,,Astropectinidae,Astropectinidae,family,,,,,,,,,literature; GBIF; OBIS only,,,,,,,,sediment,,,,,,,,,,,,cf.,matchtype: exact,exact,accepted,"Gray, 1840",123127,1,0,0,0,,,"Mah, C.L. (2023). World Asteroidea Database. Astropectinidae Gray, 1840. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=123127 on 2023-01-30",Animalia,literature,GBIF,,OBIS only,,,,,,
226,,,,,,macrofauna,Arthropoda,Malacostraca,Cumacea,Bodotriidae,Atlantocuma,,,,Atlantocuma,Atlantocuma,genus,,,,,,,,,DD,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Bacescu & Muradian, 1974",181401,1,,,0,,,"Watling, L.; Gerken, S. (2023). World Cumacea Database. Atlantocuma Bacescu & Muradian, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=181401 on 2023-01-30",Animalia,,,DD,,,yes,,,,
227,,,,,pelagic?,macrofauna,Cnidaria,Scyphozoa,Coronatae,Atorellidae,,,,,Atorellidae,Atorellidae,family,,,,,,,,,DD,,,,,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Vanhöffen, 1902",135230,1,0,0,0,,,"Collins, A. G.; Jarms, G.; Morandini, A. C. (2023). World List of Scyphozoa. Atorellidae Vanhöffen, 1902. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=135230 on 2023-01-30",Animalia,,,DD,,,yes,,,,
229,morphology and molecular data,,,,,macrofauna,Annelida,Polychaeta,Eunicida,Lumbrineridae,Augeneria,,,,Augeneria,Augeneria,genus,,,,,,,,,literature; DD,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Monro, 1930",129332,1,0,0,0,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Augeneria Monro, 1930. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129332 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
230,morphology and molecular data,,,,,macrofauna,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,,,Aurospio,Aurospio,genus,,,,,,,,,literature; GBIF; DD,,,,,,,,sediment,,,,,,,,yes,genbank,,,,matchtype: exact,exact,accepted,"Maciolek, 1981",129608,1,0,0,0,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Aurospio Maciolek, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=129608 on 2023-01-30",Animalia,literature,GBIF,DD,,OBIS DD,,,,,
231,morphology only (specimens),no,yes,,all records with qualifiers,macrofauna,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,abranchiata,,Aurospio abranchiata,Aurospio abranchiata,species,,,,,,,,,literature; DD,,,benthic,WoRMS,,,,sediment,y- but not on short checklist,y,,,,"Type locality: Off Portugal, 3218m",dubious,,,,aff.,aff.,matchtype: exact,exact,accepted,"Neal, Paterson & Soto in Paterson et al., 2016",871997,1,0,0,0,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Aurospio abranchiata Neal, Paterson & Soto in Paterson et al., 2016. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=871997 on 2023-01-30",Animalia,literature,,DD,,,,,,,
232,morphology and molecular data,yes,yes,,,macrofauna,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,dibranchiata,,Aurospio dibranchiata,Aurospio dibranchiata,species,,,,,,,,,GBIF; literature; DD,,,benthic,WoRMS,,,,sediment,y,y,,,,"Type locality: Off Uruguay, 2048m",dubious,yes,genbank,,,aff.; cf.,matchtype: exact,exact,accepted,"Maciolek, 1981",131110,1,0,0,0,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Aurospio dibranchiata Maciolek, 1981. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=131110 on 2023-01-30",Animalia,literature,GBIF,DD,,OBIS DD,,,,,
233,morphology only (specimens),no,yes,,all records with qualifiers,macrofauna,Annelida,Polychaeta,Spionida,Spionidae,Aurospio,,foodbancsia,,Aurospio foodbancsia,Aurospio foodbancsia,species,,,,,,,,,literature; DD,,,benthic,WoRMS,,,,sediment,y- but not on short checklist,,,,,,ok,,,,aff.,aff.,matchtype: exact,exact,accepted,"Mincks, Dyal, Paterson, Smith & Glover, 2009",598908,1,,,,,,"Read, G.; Fauchald, K. (Ed.) (2023). World Polychaeta Database. Aurospio foodbancsia Mincks, Dyal, Paterson, Smith & Glover, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=598908 on 2023-01-30",Animalia,literature,,DD,,,,,,,
234,,,,,,macrofauna,Arthropoda,Malacostraca,Isopoda,Nannoniscidae,Austroniscus,,,,Austroniscus,Austroniscus,genus,,,,,,,,,literature; DD,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Vanhöffen, 1914",118379,1,0,0,0,,,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Austroniscus Vanhöffen, 1914. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=118379 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
235,,,,,,macrofauna,Arthropoda,Malacostraca,Amphipoda,Synopiidae,Austrosyrrhoe,,,,Austrosyrrhoe,Austrosyrrhoe,genus,,,,,,,,,literature; DD; OBIS DD,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"K.H. Barnard, 1925",101773,1,,,,,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Copila?-Ciocianu, D.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Austrosyrrhoe K.H. Barnard, 1925. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101773 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
237,not given,yes,yes,,no habitat info,megafauna,Chordata,Teleostei,Anguilliformes,Nemichthyidae,Avocettina,,infans,,Avocettina infans,Avocettina infans,species,,,,,,,,,GBIF,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"(Günther, 1878)",126304,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Avocettina infans (Günther, 1878). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126304 on 2023-01-30",Animalia,,GBIF,,,,yes,,arms,nwarms,rams
238,,,,,,macrofauna,Porifera,Demospongiae,Axinellida,,,,,,Axinellida,Axinellida,order,,,,,,,,,DD,,,,,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Lévi, 1953",163084,1,0,0,0,,,WoRMS (2023). Axinellida. Accessed at: https://marinespecies.org/aphia.php?p=taxdetails&id=163084 on 2023-01-30,Animalia,,,DD,,OBIS DD,yes,,,,
239,,,,,,macrofauna,Porifera,Demospongiae,Axinellida,Axinellidae,,,,,Axinellidae,Axinellidae,family,,,,,,,,,DD,,,,,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Carter, 1875",131629,1,0,0,0,,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Axinellidae Carter, 1875. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=131629 on 2023-01-30",Animalia,,,,,OBIS DD,yes,,,,
240,,,,,,macrofauna,Mollusca,Bivalvia,Lucinida,Thyasiridae,Axinulus,,,,Axinulus,Axinulus,genus,,,,,,,,,literature,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Verrill & K. J. Bush, 1898",152413,1,0,0,0,,,"MolluscaBase eds. (2023). MolluscaBase. Axinulus Verrill & K. J. Bush, 1898. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=152413 on 2023-01-30",Animalia,literature,,,,,yes,,,,
242,morphology only (imagery),no,yes,,all records with qualifiers,megafauna,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Axoniderma,,kensmithi,,Axoniderma kensmithi,Axoniderma kensmithi,species,,,,,,,,,literature,,,benthic,WoRMS,,,,nodule,,,,,,,,,,YES,cf; sp. Inc,cf; sp. Inc,matchtype: exact,exact,accepted,"(Lunsten, Reiswig & Austin, 2017)",1466530,1,0,0,0,,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Axoniderma kensmithi (Lunsten, Reiswig & Austin, 2017). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1466530 on 2023-01-30",Animalia,literature,,,,,yes,,,,
243,morphology only (specimens),yes,yes,,,megafauna,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Axoniderma,,longipinna,,Axoniderma longipinna,Axoniderma longipinna,species,,Ridley&Dendy_1887,1887,new species,new species pre 2000,y,yes,,literature; OBIS only,,,benthic,WoRMS,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"(Ridley & Dendy, 1886)",1466531,1,0,0,0,,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Axoniderma longipinna (Ridley & Dendy, 1886). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1466531 on 2023-01-30",Animalia,literature,,,OBIS only,,,,,,
244,morphology only (imagery),no,yes,,all records with qualifiers,megafauna,Porifera,Demospongiae,Poecilosclerida,Cladorhizidae,Axoniderma,,mexicana,,Axoniderma mexicana,Axoniderma mexicana,species,,,,,,,,,literature,,,benthic,WoRMS,,,,nodule,,,,,,,,,,YES,sp. inc.,sp. inc.,matchtype: exact,exact,accepted,"(Lundsten, Reiswig & Austin, 2017)",1466532,1,0,0,0,,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Axoniderma mexicana (Lundsten, Reiswig & Austin, 2017). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=1466532 on 2023-01-30",Animalia,literature,,,,,yes,,,,
245,,,,,,megafauna,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Barathrites,,,,Barathrites,Barathrites,genus,,,,,,,,,GBIF; OBIS only,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Zugmayer, 1911",125855,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Barathrites Zugmayer, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125855 on 2023-01-30",Animalia,,GBIF,,OBIS only,,,,,,
246,morphology only (specimens and imagery),yes,yes,,no habitat info,megafauna,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Barathrites,,iris,,Barathrites iris,Barathrites iris,species,,,,,,,,,literature; GBIF; DD,,,,,,,,water column,,,,,,,,,,,,cf.,matchtype: exact,exact,accepted,"Zugmayer, 1911",126664,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Barathrites iris Zugmayer, 1911. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=126664 on 2023-01-30",Animalia,literature,GBIF,DD,,OBIS DD,,,,,
247,,,,,,meiofauna,Arthropoda,Copepoda,Harpacticoida,Cletodidae,Barbaracletodes,,,,Barbaracletodes,Barbaracletodes,genus,,,,,,,,,literature; DD; OBIS DD,,,,,,,,sediment,,,,,,,,,,,,,No match found,exact,accepted,"Huys, 2009",150052,1,0,0,0,,,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Barbaracletodes Huys, 2009. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=150052 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
249,morphology only (imagery),no,yes,,no habitat info,megafauna,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Bassogigas,,walkeri,,Bassogigas walkeri,Bassogigas walkeri,species,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,YES,,,No match found,exact,accepted,"Nielsen & Møller, 2011",712476,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Bassogigas walkeri Nielsen & Møller, 2011. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=712476 on 2023-01-30",Animalia,literature,,,,,yes,,,,
250,,,,,,megafauna,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Bassozetus,,,,Bassozetus,Bassozetus,genus,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Gill, 1883",125856,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Bassozetus Gill, 1883. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125856 on 2023-01-30",Animalia,literature,,,,,yes,,,,
251,morphology only (imagery),no,yes,,no habitat info,megafauna,Chordata,Teleostei,Ophidiiformes,Ophidiidae,Bassozetus,,nasus,,Bassozetus nasus,Bassozetus nasus,species,,,,,,,,,literature; GBIF; DD; OBIS only,,,,,,,,water column,,,,,,,,,,YES,,cf.,matchtype: exact,exact,accepted,"Garman, 1899",272792,1,0,0,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Bassozetus nasus Garman, 1899. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=272792 on 2023-01-30",Animalia,literature,GBIF,DD,OBIS only,OBIS DD,,,,,
252,morphology and molecular data,no,yes,,"yes- while lit record unpublished data, is in multiple sources",megafauna,Mollusca,Bivalvia,Arcida,Arcidae,Bathyarca,,imitata,,Bathyarca imitata,Bathyarca imitata,species,,,,,,,,,literature; DD,,,benthic,WoRMS,,,,sediment,,,,,,,,yes,,,cf.,cf.,matchtype: exact,exact,accepted,"(E. A. Smith, 1885)",504408,1,0,0,0,,,"MolluscaBase eds. (2023). MolluscaBase. Bathyarca imitata (E. A. Smith, 1885). Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=504408 on 2023-01-30",Animalia,literature,,DD,,,,,,,
253,,,,,,megafauna,Echinodermata,Crinoidea,Comatulida,Bathycrinidae,,,,,Bathycrinidae,Bathycrinidae,family,,,,,,,,,DD,,,,,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Bather, 1899",123144,1,0,0,0,,,"Messing, C. (2023). World List of Crinoidea. Bathycrinidae Bather, 1899. Accessed through: World Register of Marine Species at: https://marinespecies.org/aphia.php?p=taxdetails&id=123144 on 2023-01-30",Animalia,,,DD,,OBIS DD,yes,,,,
255,morphology only (imagery),no,yes,,all records with qualifiers,megafauna,Echinodermata,Crinoidea,Comatulida,Bathycrinidae,Bathycrinus,,equatorialis,,Bathycrinus equatorialis,Bathycrinus equatorialis,species,,,,,,,,,literature; GBIF; OBIS only,,,benthic,WoRMS,,,,nodule,,,,,,,,,,YES,cf.,cf.,No match found,exact,accepted,"AH Clark, 1908",723580,1,0,0,0,,,"WoRMS (2023). Bathycrinus equatorialis AH Clark, 1908. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=723580 on 2023-01-30",Animalia,literature,GBIF,,OBIS only,,,,,,
257,,,,,,megafauna,Porifera,Hexactinellida,Lyssacinosida,Rossellidae,Bathydorus,,,,Bathydorus,Bathydorus,genus,,,,,,,,,literature; GBIF,,,,,,nodule/sediment,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Schulze, 1886",132123,1,0,0,0,,,"de Voogd, N.J.; Alvarez, B.; Boury-Esnault, N.; Carballo, J.L.; Cárdenas, P.; Díaz, M.-C.; Dohrmann, M.; Downey, R.; Goodwin, C.; Hajdu, E.; Hooper, J.N.A.; Kelly, M.; Klautau, M.; Lim, S.C.; Manconi, R.; Morrow, C.; Pinheiro, U.; Pisera, A.B.; Ríos, P.; Rützler, K.; Schönberg, C.; Vacelet, J.; van Soest, R.W.M.; Xavier, J. (2023). World Porifera Database. Bathydorus Schulze, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=132123 on 2023-01-30",Animalia,literature,GBIF,,,,,,,,
