rec_long,descr_id_with,SPP_CHECKLIST,FULL_SPP_CHECKLIST,INCL,incl_note,size_cat,Phylum,Class,Order,Family,Genus,Subgenus,specificEpiphet,Subspecies,scientificName,ScientificName_accepted,taxonRank,other_rank,ref_description,YEAR_DESC,description,orig_desc,CCZ_endemic,observed_out_CCZ_OBIS,notes,SOURCE_ED,inferred,size_cat_notes,habitat_info,source_habitat_info,hab_confirmed,hab/group,pelagic,habitat_interim,QA/QC,type_loc_elsewhere,my_notes_on_tammys,Tammy_notes,Tammy_taxonomic.status,Thomas_notes,Thomas_taxonomic status,barcode,source,imagery_only_ID,all_recs_qual_y,any_recs_qual,deepsea_taxonmatch_note_wordss,Match type,Taxon status- worms,Authority_accepted,AphiaID_accepted,isMarine,isBrackish,isFresh,isTerrestrial,extra_AphiaID,extra_authority,Citation,Kingdom,source_lit,source_gbif,source_DD,source_OBIS_only,source_OBIS_DD,sole_source,type_loc_info_OBIS,cl,cl2,cl3
1854,morphology only (specimens),yes,yes,,,macrofauna,Arthropoda,Malacostraca,Tanaidacea,Akanthophoreidae,Stenotanais,,arenasi,,Stenotanais arenasi,Stenotanais arenasi,species,,Larsen_2011a,2011,new species,new species,y,,,literature; DD,,,benthic,WoRMS,,,,sediment,y,,,,ok,,,,,,,cf.,No match found,exact,accepted,"Larsen, 2011",606516,1,,,,,,"WoRMS (2023). Stenotanais arenasi Larsen, 2011. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=606516 on 2023-01-30",Animalia,literature,,DD,,,,,,,
1855,,,,,,megafauna,Chordata,Teleostei,Beryciformes,Stephanoberycidae,,,,,Stephanoberycidae,Stephanoberycidae,family,,,,,,,,,literature,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Gill, 1884",125600,1,,,0,,,"Froese, R. and D. Pauly. Editors. (2023). FishBase. Stephanoberycidae Gill, 1884. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=125600 on 2023-01-30",Animalia,literature,,,,,yes,,,,
1857,morphology and molecular data,yes,yes,,pelagic,macrofauna,Cnidaria,Hydrozoa,Siphonophorae,Stephanomiidae,Stephanomia,,amphytridis,,Stephanomia amphytridis,Stephanomia amphytridis,species,,,,,,,,,literature; GBIF; DD; OBIS only,,,pelagic,WoRMS,,,yes,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Lesueur & Petit, 1807",387271,1,0,0,0,,,"Schuchert, P. (2023). World Hydrozoa Database. Stephanomia amphytridis Lesueur & Petit, 1807. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=387271 on 2023-01-30",Animalia,literature,GBIF,DD,OBIS only,,,,,,
1859,,,,,,macrofauna,Cnidaria,Scyphozoa,Coronatae,Coronatae incertae sedis,Stephanoscyphistoma,,,,Stephanoscyphistoma,Stephanoscyphistoma,genus,,,,,,,,,literature; DD,,,,,,,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Jarms, 1990",888439,1,0,0,0,,,"Collins, A. G.; Jarms, G.; Morandini, A. C. (2023). World List of Scyphozoa. Stephanoscyphistoma Jarms, 1990. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=888439 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
1860,morphology and molecular data,,,,,macrofauna,Arthropoda,Malacostraca,Amphipoda,Uristidae,Stephonyx,,,,Stephonyx,Stephonyx,genus,,,,,,,,,literature,,,,,,,,sediment,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Lowry & Stoddart, 1989",101656,1,0,0,0,,,"Horton, T.; Lowry, J.; De Broyer, C.; Bellan-Santini, D.; Coleman, C.O.; Corbari, L.; Costello, M.J.; Daneliya, M.; Dauvin, J.-C.; Fišer, C.; Gasca, R.; Grabowski, M.; Guerra-García, J.M.; Hendrycks, E.; Hughes, L.; Jaume, D.; Jazdzewski, K.; Kim, Y.-H.; King, R.; Krapp-Schickel, T.; LeCroy, S.; Lörz, A.-N.; Mamos, T.; Senna, A.R.; Serejo, C.; Sket, B.; Souza-Filho, J.F.; Tandberg, A.H.; Thomas, J.D.; Thurston, M.; Vader, W.; Väinölä, R.; Vonk, R.; White, K.; Zeidler, W. (2023). World Amphipoda Database. Stephonyx Lowry & Stoddart, 1989. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=101656 on 2023-01-30",Animalia,literature,,,,,yes,,,,
1861,,,,,,macrofauna,Bryozoa,Stenolaemata,Cyclostomatida,Stomatoporidae,Stomatopora,,,,Stomatopora,Stomatopora,genus,,,,,,,,,DD,,,,,,nodule obligate,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Bronn, 1825",111048,1,,,,,,"Bock, P. (2023). World List of Bryozoa. Stomatopora Bronn, 1825. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=111048 on 2023-01-30",Animalia,,,DD,,OBIS DD,yes,,,,
1862,,,,,,macrofauna,Bryozoa,Stenolaemata,Cyclostomatida,Stomatoporidae,,,,,Stomatoporidae,Stomatoporidae,family,,,,,,,,,DD,,,,,,nodule obligate,,nodule,,,,,,,,,,,,,matchtype: exact,exact,accepted,"Pergens & Meunier, 1886",468861,1,,,,,,"Bock, P. (2023). World List of Bryozoa. Stomatoporidae Pergens & Meunier, 1886. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=468861 on 2023-01-30",Animalia,,,DD,,OBIS DD,yes,,,,
1863,morphology only (specimens),yes,yes,,,macrofauna,Arthropoda,Malacostraca,Isopoda,Munnopsidae,Storthyngura,,yuzhmorgeo,,Storthyngura yuzhmorgeo,Storthyngura yuzhmorgeo,species,,Malyutina_2011,2011,new species,new species,y,,,literature,,,benthic,WoRMS,,,,sediment,y,,,,ok,,,,,,,,matchtype: exact,exact,accepted,"Malyutina, 2011",579157,1,0,0,0,,,"Boyko, C.B.; Bruce, N.L.; Hadfield, K.A.; Merrin, K.L.; Ota, Y.; Poore, G.C.B.; Taiti, S. (Eds) (2008 onwards). World Marine, Freshwater and Terrestrial Isopod Crustaceans database. Storthyngura yuzhmorgeo Malyutina, 2011. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=579157 on 2023-01-30",Animalia,literature,,,,,yes,Y,,,
1864,,,,,,meiofauna,Arthropoda,Copepoda,Harpacticoida,Aegisthidae,Stratiopontotes,,,,Stratiopontotes,Stratiopontotes,genus,,,,,,,,,literature; DD; OBIS DD,,,,,,,,sediment,,,,,,,,,,,,,No match found,exact,accepted,"Soyer, 1970",115261,1,0,0,0,,,"Walter, T.C.; Boxshall, G. (2023). World of Copepods Database. Stratiopontotes Soyer, 1970. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=115261 on 2023-01-30",Animalia,literature,,DD,,OBIS DD,,,,,
1866,,,,,,macrofauna,Arthropoda,Malacostraca,Cumacea,Nannastacidae,Styloptocuma,,,,Styloptocuma,Styloptocuma,genus,,,,,,,,,DD,,,,,,,,water column,,,,,,,,,,,,,matchtype: exact,exact,accepted,"B?cescu & Muradian, 1974",110424,1,,,0,,,"Watling, L.; Gerken, S. (2023). World Cumacea Database. Styloptocuma Bacescu & Muradian, 1974. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=110424 on 2023-01-30",Animalia,,,DD,,,yes,,,,
