rec,INCL,incl_note,paper,REF2/DATASET,basisOfRecord,named_spp,taxonConceptID,scientificName,NAME,COUNT,rec-single,spec_note,typeStatus,TO_DO,qual_level,qual,ABSENSE,taxonRank,tr_w_tcid,Phylum,Class,Order,Family,Genus,Species,AphiaID_accepted,Authority_accepted,size_cat,VESSEL,CRUISE,CONTRACT_AREA,CA_ED,CA_TEST,sub-area,inc_site_analysis,STATION,STN_ED,deployment,STN-DEPLOY,SITE_STRING_V1,fraction,habitat,nodule_pres,region,LAT-START,LONG-START,LAT-END,LONG-END,VERB-LAT-START,VERB-LONG-START,VERB_LAT-END2,VERB-LONG-END,max_depth/start_depth,min_depth/end_depth,depth_qual,DATE,date_to_ed,sampling_method,sampling_method_ED,sampling_dets,QUANTITATIVE,FULLY_PROCESSED,duration,AREA,collector,year,type_loc,sampleID,data_source,taxonRank,CCZ_endemic,identificationQualifier,inc_type_loc_map,note,site_NOTES,orig_row,external_row
1067,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Cystocrepis morphospecies,Cystocrepis,cf. Cystocrepis morphospecies,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Echinoidea,Holasteroida,Pourtalesiidae,Cystocrepis,,512778,"Mortensen, 1907",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.85801,-116.5473,,,13.85801,-116.5473,,,4022,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,genus,,,,,,,
1070,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Deimatidae morphospecies 1,Deimatidae,cf. Deimatidae morphospecies 1,1,NA,Imaged only,additional material,,,,,family,family,Echinodermata,Holothuroidea,Synallactida,Deimatidae,,,123190,"Théel, 1882",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 1 (AV01),,Dive 1 (AV01),STN,AB02_Dive 1 (AV01),,,,EAST,12.3703,-116.5194,,,12.3703,-116.5194,,,4162,,,2015-02-18,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,family,,,,,,,
1071,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Deimatidae morphospecies 1,Deimatidae,cf. Deimatidae morphospecies 1,1,NA,Imaged only,additional material,,,,,family,family,Echinodermata,Holothuroidea,Synallactida,Deimatidae,,,123190,"Théel, 1882",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 5 (AV05),,Dive 5 (AV05),STN,AB02_Dive 5 (AV05),,,,EAST,12.4939,-116.6504,,,12.4939,-116.6504,,,4254,,,2015-03-03,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,family,,,,,,,
1072,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Deimatidae morphospecies 2,Deimatidae,cf. Deimatidae morphospecies 2,1,NA,Imaged only,additional material,,,,,family,family,Echinodermata,Holothuroidea,Synallactida,Deimatidae,,,123190,"Théel, 1882",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 5 (AV05),,Dive 5 (AV05),STN,AB02_Dive 5 (AV05),,,,EAST,12.49096,-116.6511,,,12.49096,-116.6511,,,4256,,,2015-03-04,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,family,,,,,,,
1075,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Echinocrepis morphospecies,Echinocrepis,cf. Echinocrepis morphospecies,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Echinoidea,Holasteroida,Pourtalesiidae,Echinocrepis,,160746,"A. Agassiz, 1879",megafauna,RV Melville Cruise MV1313,AB01,UK-1,UK-1,UK-1,UK-1 Stratum A,add station,Dive 6 (RV06),,Dive 6 (RV06),STN,AB01_Dive 6 (RV06),,,,EAST,13.8601,-116.5484,,,13.8601,-116.5484,,,4026,,,2013-10-21,,Remotely Operated Vehicle,ROV,,,,,,,,,,,genus,,,,,,,
1073,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Echinocrepis morphospecies,Echinocrepis,cf. Echinocrepis morphospecies,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Echinoidea,Holasteroida,Pourtalesiidae,Echinocrepis,,160746,"A. Agassiz, 1879",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 6 (AV06),,Dive 6 (AV06),STN,AB02_Dive 6 (AV06),,,,EAST,12.56795,-116.7361,,,12.56795,-116.7361,,,4200,,,2015-03-09,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,genus,,,,,,,
1074,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Echinocrepis morphospecies,Echinocrepis,cf. Echinocrepis morphospecies,1,NA,Imaged only,additional material,,,,,genus,genus,Echinodermata,Echinoidea,Holasteroida,Pourtalesiidae,Echinocrepis,,160746,"A. Agassiz, 1879",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 6 (AV06),,Dive 6 (AV06),STN,AB02_Dive 6 (AV06),,,,EAST,12.5707,-116.7072,,,12.5707,-116.7072,,,4213,,,2015-03-09,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,genus,,,,,,,
1076,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Echinoidea morphospecies 1,Echinoidea,cf. Echinoidea morphospecies 1,1,NA,Imaged only,additional material,,,,,class,class,Echinodermata,Echinoidea,,,,,123082,"Leske, 1778",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 1 (AV01),,Dive 1 (AV01),STN,AB02_Dive 1 (AV01),,,,EAST,12.369004,-116.5195,,,12.369004,-116.5195,,,4163,,,2015-02-18,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,class,,,,,,,
1078,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Echinoidea morphospecies 1,Echinoidea,cf. Echinoidea morphospecies 1,1,NA,Imaged only,additional material,,,,,class,class,Echinodermata,Echinoidea,,,,,123082,"Leske, 1778",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 5 (AV05),,Dive 5 (AV05),STN,AB02_Dive 5 (AV05),,,,EAST,12.4963,-116.64899,,,12.4963,-116.64899,,,4253,,,2015-03-04,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,class,,,,,,,
1077,,imagery,Amon_etal_2017a,,HumanObservation,no,cf. Echinoidea morphospecies 2,Echinoidea,cf. Echinoidea morphospecies 2,1,NA,Imaged only,additional material,,,,,class,class,Echinodermata,Echinoidea,,,,,123082,"Leske, 1778",megafauna,RV Thompson Cruise TN319,AB02,UK-1,UK-1,UK-1,UK-1 Stratum B,add station,Dive 5 (AV05),,Dive 5 (AV05),STN,AB02_Dive 5 (AV05),,,,EAST,12.5014,-116.64696,,,12.5014,-116.64696,,,4251,,,2015-03-03,,Autonomous Underwater Vehicle,AUV,,,,,,,,,,,class,,,,,,,
