Site,Abundance,Species
central,,Abyssopathes cf. lyra 
central,,Abyssopathes cf. lyra 
east,NA,Abyssopathes lyra
east,1,Abyssopathes lyra
east,1,Abyssopathes lyra
east,1,Abyssopathes lyra
east,1,Abyssopathes lyra
east,1,Abyssopathes lyra
central,1,Abyssopathes lyra
central,1,Abyssopathes lyriformis
central,1,Abyssopathes lyriformis
central,1,Abyssopathes lyriformis
west,,Abyssoprimnoa cf. gemina
east,,Abyssoprimnoa cf. gemina
east,,Abyssoprimnoa cf. gemina
east,,Abyssoprimnoa cf. gemina
east,,Abyssoprimnoa cf. gemina
east,,Abyssoprimnoa cf. gemina
east,,Abyssoprimnoa cf. gemina
central,,Abyssoprimnoa cf. gemina
central,,Abyssoprimnoa cf. gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,32,Abyssoprimnoa gemina
east,20,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,NA,Abyssoprimnoa gemina
east,NA,Abyssoprimnoa gemina
east,NA,Abyssoprimnoa gemina
east,NA,Abyssoprimnoa gemina
east,NA,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,2,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssoprimnoa gemina
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
east,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
west,1,Abyssorchomene chevreuxi
central,2,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
east,1,Abyssorchomene distinctus
