Phylum,Class,Order,Family,Genus,Species,scientificName,taxonConceptID,habitat_interim,size_cat
Annelida,Polychaeta,,Paraonidae,,,Paraonidae,AB_ Paraonidae sp 9,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 3,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 4,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Phyllodocidae,,,Phyllodocidae,AB_ Phyllodocidae sp 5,sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Pilargidae,,,Pilargidae,AB_ Pilargidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Spionida,Poecilochaetidae,,,Poecilochaetidae,Poecilochaetidae sp. (NHM_223),sediment,macrofauna
Annelida,Polychaeta,Phyllodocida,Polynoidae,,,Polynoidae,AB_ Polynoidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 1,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 2,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 3,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 4,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 5,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 6,sediment,macrofauna
Annelida,Polychaeta,Sabellida,Sabellidae,,,Sabellidae,AB_ Sabellidae sp 7,sediment,macrofauna
Annelida,Polychaeta,,Scalibregmatidae,,,Scalibregmatidae,AB_ Scalibregmatidae sp 1,sediment,macrofauna
