"","Species","Individuals"
"N12161",1505.73603281218,12161
"N12181",1507.21952740344,12181
"N12201",1508.70173113603,12201
"N12221",1510.18264676322,12221
"N12241",1511.66227696995,12241
"N12261",1513.14062446138,12261
"N12281",1514.61769193125,12281
"N12301",1516.09348207458,12301
"N12321",1517.56799761229,12321
"N12341",1519.04124113519,12341
"N12361",1520.51321531162,12361
"N12381",1521.98392284589,12381
"N12401",1523.45336633017,12401
"N12421",1524.92154837744,12421
"N12441",1526.38847166406,12441
"N12461",1527.85413877026,12461
"N12481",1529.31855225309,12481
"N12501",1530.7817147923,12501
"N12521",1532.24362888683,12521
"N12541",1533.70429716017,12541
"N12561",1535.16372216867,12561
"N12581",1536.62190646112,12581
"N12601",1538.07885257933,12601
"N12621",1539.53456308248,12621
"N12641",1540.98904048122,12641
"N12661",1542.4422872625,12661
"N12681",1543.89430600294,12681
"N12701",1545.34509918446,12701
"N12721",1546.79466925413,12721
"N12741",1548.24301876302,12741
"N12761",1549.69015015067,12761
"N12781",1551.13606586214,12781
"N12801",1552.58076839868,12801
"N12821",1554.02426021273,12821
"N12841",1555.46654373047,12841
"N12861",1556.90762137849,12861
"N12881",1558.34749559192,12881
"N12901",1559.78616880476,12901
"N12921",1561.22364337643,12921
"N12941",1562.65992176286,12941
"N12961",1564.09500632107,12961
"N12981",1565.52889942902,12981
"N13001",1566.96160351776,13001
"N13021",1568.39312089728,13021
"N13041",1569.8234539414,13041
"N13061",1571.25260503465,13061
"N13081",1572.68057649648,13081
"N13101",1574.10737061578,13101
"N13121",1575.53298982707,13121
"N13141",1576.95743636759,13141
"N13161",1578.38071256143,13161
"N13181",1579.8028207503,13181
"N13201",1581.22376322133,13201
"N13221",1582.64354222856,13221
"N13241",1584.06216007057,13241
"N13261",1585.4796190308,13261
"N13281",1586.89592139307,13281
"N13301",1588.3110693626,13301
"N13321",1589.72506524523,13321
"N13341",1591.13791124922,13341
"N13361",1592.54960966541,13361
"N13381",1593.96016262953,13381
"N13401",1595.36957245573,13401
"N13421",1596.77784133112,13421
"N13441",1598.18497146251,13441
"N13461",1599.59096500392,13461
"N13481",1600.99582420153,13481
"N13501",1602.39955122748,13501
"N13521",1603.8021482653,13521
"N13541",1605.20361746883,13541
"N13561",1606.6039609957,13561
"N13581",1608.00318106197,13581
"N13601",1609.40127974668,13601
"N13621",1610.79825922633,13621
"N13641",1612.19412165436,13641
"N13661",1613.58886914485,13661
"N13681",1614.98250378696,13681
"N13701",1616.3750277589,13701
"N13721",1617.76644308655,13721
"N13741",1619.15675195231,13741
"N13761",1620.54595641703,13761
"N13781",1621.93405859105,13781
"N13801",1623.32106050976,13801
"N13821",1624.70696428248,13821
"N13841",1626.09177198667,13841
"N13861",1627.47548565316,13861
"N13881",1628.85810734857,13881
"N13901",1630.23963914914,13901
"N13921",1631.62008305336,13921
"N13941",1632.99944113016,13941
"N13961",1634.37771539883,13961
"N13981",1635.75490785688,13981
"N14001",1637.1310205799,14001
"N14021",1638.50605552082,14021
"N14041",1639.88001472021,14041
"N14061",1641.25290012379,14061
"N14081",1642.62471379811,14081
"N14101",1643.99545767118,14101
"N14121",1645.36513373614,14121
"N14141",1646.73374397144,14141
"N14161",1648.10129033216,14161
"N14181",1649.46777479935,14181
"N14201",1650.83319932062,14201
"N14221",1652.19756579963,14221
"N14241",1653.56087624608,14241
"N14261",1654.92313254303,14261
"N14281",1656.28433667274,14281
"N14301",1657.64449052228,14301
"N14321",1659.00359601276,14321
"N14341",1660.36165504071,14341
"N14361",1661.71866953618,14361
"N14381",1663.0746413996,14381
"N14401",1664.42957253838,14401
"N14421",1665.78346478067,14421
"N14441",1667.13632008668,14441
"N14461",1668.48814026915,14461
"N14481",1669.83892723292,14481
"N14501",1671.1886828471,14501
"N14521",1672.53740893547,14521
"N14541",1673.88510740109,14541
"N14561",1675.2317800593,14561
"N14581",1676.577428742,14581
"N14601",1677.92205534304,14601
"N14621",1679.26566161017,14621
"N14641",1680.6082494708,14641
"N14661",1681.94982065222,14661
"N14681",1683.29037699071,14681
"N14701",1684.62992031783,14701
"N14721",1685.96845247025,14721
"N14741",1687.30597515089,14741
"N14761",1688.6424902614,14761
"N14781",1689.97799948614,14781
"N14801",1691.31250470189,14801
"N14821",1692.64600760589,14821
"N14841",1693.97851002018,14841
"N14861",1695.31001370696,14861
"N14881",1696.64052039386,14881
"N14901",1697.97003186857,14901
"N14921",1699.29854985646,14921
"N14941",1700.6260761311,14941
"N14961",1701.95261240877,14961
"N14981",1703.27816044071,14981
"N15001",1704.60272196199,15001
"N15021",1705.92629865888,15021
"N15041",1707.24889228151,15041
"N15061",1708.57050454727,15061
"N15081",1709.89113716428,15081
"N15101",1711.21079182194,15101
"N15121",1712.52947020796,15121
"N15141",1713.84717406131,15141
"N15161",1715.16390506382,15161
"N15181",1716.47966485388,15181
"N15201",1717.79445512537,15201
"N15221",1719.10827760049,15221
"N15241",1720.42113387782,15241
